rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,13879,specialized_enriched,max,2.5738117694854736,0.44219017028808594,5.82059907913208,5.82059907913208,70,8
2,6895,specialized_enriched,max,5.027618408203125,0.8771407008171082,5.7318267822265625,5.7318267822265625,78,8
3,1078,specialized_enriched,max,11.047821998596191,1.9310221672058105,5.7212300300598145,5.7212300300598145,76,8
4,596,specialized_enriched,max,2.5842809677124023,0.5175005793571472,4.993773937225342,4.993773937225342,80,8
5,8840,specialized_enriched,max,2.5298824310302734,0.5955572128295898,4.247925281524658,4.247925281524658,80,8
6,2447,specialized_enriched,max,3.2090959548950195,0.7830387949943542,4.098259449005127,4.098259449005127,80,8
7,14175,specialized_enriched,mean,0.07838679105043411,0.019253496080636978,4.071301460266113,4.071301460266113,75,8
8,9826,specialized_enriched,max,3.2563915252685547,0.8626196980476379,3.7750024795532227,3.7750024795532227,80,8
9,5635,specialized_enriched,active_fraction,0.011062389239668846,0.0029444636311382055,3.7570133209228516,3.7570133209228516,76,8
10,10285,specialized_enriched,mean,0.07135571539402008,0.01915341056883335,3.7254834175109863,3.7254834175109863,79,8
11,11128,specialized_enriched,active_fraction,0.013012771494686604,0.0035737487487494946,3.6412105560302734,3.6412105560302734,54,8
12,185,specialized_enriched,active_fraction,0.007983673363924026,0.002199446316808462,3.6298558712005615,3.6298558712005615,55,8
13,1355,specialized_enriched,max,3.853862762451172,1.0723305940628052,3.5939128398895264,3.5939128398895264,80,8
14,8318,specialized_enriched,mean,0.06807619333267212,0.01905166357755661,3.5732414722442627,3.5732414722442627,43,8
15,9600,specialized_enriched,max,2.6441850662231445,0.7438076734542847,3.554931163787842,3.554931163787842,78,8
16,8686,specialized_enriched,mean,0.11895516514778137,0.033529508858919144,3.5477752685546875,3.5477752685546875,65,8
17,15039,specialized_enriched,mean,0.06559014320373535,0.018504630774259567,3.5445258617401123,3.5445258617401123,80,8
18,8096,specialized_enriched,max,1.4052915573120117,0.39713090658187866,3.5386104583740234,3.5386104583740234,80,8
19,7086,specialized_enriched,max,5.592947006225586,1.5824086666107178,3.534451723098755,3.534451723098755,69,8
20,5839,specialized_enriched,active_fraction,0.006877001374959946,0.00197348790243268,3.484694004058838,3.484694004058838,79,8
21,15107,specialized_enriched,mean,0.1513565480709076,0.04385269805788994,3.4514763355255127,3.4514763355255127,70,8
22,2215,specialized_enriched,max,2.337871551513672,0.6788923740386963,3.4436557292938232,3.4436557292938232,79,8
23,661,specialized_enriched,mean,0.10085153579711914,0.029622726142406464,3.4045326709747314,3.4045326709747314,55,8
24,7446,specialized_enriched,mean,0.13185158371925354,0.039688002318143845,3.322202682495117,3.322202682495117,52,8
25,1246,specialized_enriched,mean,0.07307779788970947,0.02218683995306492,3.293745279312134,3.293745279312134,72,8
26,8247,specialized_enriched,mean,0.053410276770591736,0.016323404386639595,3.272006034851074,3.272006034851074,68,8
27,9000,specialized_enriched,mean,0.17662498354911804,0.054267533123493195,3.2547082901000977,3.2547082901000977,52,8
28,4938,specialized_enriched,mean,0.08275169879198074,0.025661958381533623,3.2246837615966797,3.2246837615966797,46,8
29,1985,specialized_enriched,max,1.7790846824645996,0.5526580810546875,3.219141721725464,3.219141721725464,76,8
30,4726,specialized_enriched,active_fraction,0.006059927865862846,0.0018852119101211429,3.214454412460327,3.214454412460327,68,8
31,10580,specialized_enriched,mean,0.014801166951656342,0.004682753700762987,3.160782814025879,3.160782814025879,38,8
32,11962,specialized_enriched,active_fraction,0.014382465742528439,0.004588043782860041,3.1347708702087402,3.1347708702087402,45,8
33,12101,specialized_enriched,mean,0.06855038553476334,0.0222299974411726,3.083688497543335,3.083688497543335,54,8
34,6902,specialized_enriched,max,1.8184094429016113,0.5900953412055969,3.081552028656006,3.081552028656006,80,8
35,15707,specialized_enriched,mean,0.08870071172714233,0.028966397047042847,3.0621933937072754,3.0621933937072754,39,8
36,4530,specialized_enriched,mean,0.07779902964830399,0.025419658049941063,3.0605852603912354,3.0605852603912354,61,8
37,2643,specialized_enriched,mean,0.08748981356620789,0.028871091082692146,3.030360460281372,3.030360460281372,74,8
38,3646,specialized_enriched,mean,0.11004544794559479,0.036464232951402664,3.0179011821746826,3.0179011821746826,49,8
39,6691,specialized_enriched,mean,0.0715741366147995,0.023719167336821556,3.0175652503967285,3.0175652503967285,37,8
40,1838,specialized_enriched,active_fraction,0.006364401895552874,0.0021103681065142155,3.015778064727783,3.015778064727783,41,8
41,14383,specialized_enriched,max,1.2941818237304688,0.430662602186203,3.005094528198242,3.005094528198242,80,8
42,4994,specialized_enriched,active_fraction,0.05291026830673218,0.01772082783281803,2.985767364501953,2.985767364501953,80,8
43,16383,specialized_enriched,mean,0.11190518736839294,0.03759144991636276,2.9768786430358887,2.9768786430358887,46,8
44,57,specialized_enriched,mean,0.09189888834953308,0.03143763169646263,2.923212766647339,2.923212766647339,67,8
45,9953,specialized_enriched,mean,0.06290482729673386,0.021539540961384773,2.9204349517822266,2.9204349517822266,51,8
46,210,specialized_enriched,active_fraction,0.027334462851285934,0.009392802603542805,2.9101498126983643,2.9101498126983643,60,8
47,404,specialized_enriched,active_fraction,0.010898470878601074,0.003764375112950802,2.895160675048828,2.895160675048828,39,8
48,4088,specialized_enriched,active_fraction,0.0037057437002658844,0.0012869365746155381,2.879507541656494,2.879507541656494,36,8
49,14382,specialized_enriched,max,4.941753387451172,1.7177157402038574,2.8769330978393555,2.8769330978393555,43,8
50,3453,specialized_enriched,active_fraction,0.02615775726735592,0.009129345417022705,2.865239143371582,2.865239143371582,55,8
51,14727,specialized_enriched,mean,0.09733821451663971,0.03399151191115379,2.8636035919189453,2.8636035919189453,61,8
52,6046,specialized_enriched,mean,0.0596279576420784,0.020852433517575264,2.859520435333252,2.859520435333252,65,8
