rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,9666,base_enriched,max,-1.9891750812530518,0.4891509413719177,-4.066587448120117,4.066587448120117,33,8
2,1206,base_enriched,max,-1.9336596727371216,0.4796457886695862,-4.031432628631592,4.031432628631592,33,8
3,7169,base_enriched,max,-2.4643383026123047,0.6500923037528992,-3.7907514572143555,3.7907514572143555,24,8
4,11612,base_enriched,mean,-0.15913605690002441,0.0420132577419281,-3.7877581119537354,3.7877581119537354,51,8
5,7804,base_enriched,max,-4.046216011047363,1.0860555171966553,-3.725606918334961,3.725606918334961,26,8
6,1939,base_enriched,mean,-0.12918289005756378,0.03471458703279495,-3.721285581588745,3.721285581588745,30,8
7,1591,base_enriched,max,-3.1951968669891357,0.8628818988800049,-3.7029364109039307,3.7029364109039307,51,8
8,6440,base_enriched,mean,-0.16897836327552795,0.04628337174654007,-3.650951862335205,3.650951862335205,45,8
9,15272,base_enriched,max,-1.6198313236236572,0.45058223605155945,-3.5949738025665283,3.5949738025665283,20,8
10,276,base_enriched,max,-1.939500093460083,0.5432546138763428,-3.5701494216918945,3.5701494216918945,30,8
11,11004,base_enriched,max,-1.2208967208862305,0.34349524974823,-3.5543336868286133,3.5543336868286133,28,8
12,15235,base_enriched,active_fraction,-0.014213057234883308,0.004004738759249449,-3.5490598678588867,3.5490598678588867,15,8
13,2085,base_enriched,max,-1.9033920764923096,0.5458377003669739,-3.487102508544922,3.487102508544922,39,8
14,6407,base_enriched,max,-2.0149693489074707,0.586953341960907,-3.432929277420044,3.432929277420044,11,8
15,5354,base_enriched,active_fraction,-0.028457999229431152,0.008305225521326065,-3.4265172481536865,3.4265172481536865,14,8
16,13141,base_enriched,max,-1.551387906074524,0.45315608382225037,-3.4235177040100098,3.4235177040100098,19,8
17,13240,base_enriched,max,-1.7979875802993774,0.5266445279121399,-3.41404390335083,3.41404390335083,18,8
18,1357,base_enriched,active_fraction,-0.03390379250049591,0.009991791099309921,-3.39316463470459,3.39316463470459,10,8
19,3446,base_enriched,active_fraction,-0.036760345101356506,0.011023923754692078,-3.334597110748291,3.334597110748291,12,8
20,12252,base_enriched,max,-1.9188463687896729,0.5825681090354919,-3.293771743774414,3.293771743774414,16,8
21,2572,base_enriched,max,-1.702742338180542,0.5212814807891846,-3.2664546966552734,3.2664546966552734,20,8
22,1224,base_enriched,max,-2.1399385929107666,0.6616504788398743,-3.234243154525757,3.234243154525757,15,8
23,2896,base_enriched,active_fraction,-0.009580887854099274,0.0029782927595078945,-3.2169060707092285,3.2169060707092285,11,8
24,9013,base_enriched,mean,-0.04650252312421799,0.01447133719921112,-3.2134227752685547,3.2134227752685547,10,8
25,16144,base_enriched,active_fraction,-0.03152235969901085,0.009898007847368717,-3.1847176551818848,3.1847176551818848,15,8
26,7644,base_enriched,max,-1.725081443786621,0.542870283126831,-3.1777045726776123,3.1777045726776123,17,8
27,2405,base_enriched,active_fraction,-0.03512280061841011,0.011097319424152374,-3.16498064994812,3.16498064994812,10,8
28,16205,base_enriched,max,-1.6194837093353271,0.5139885544776917,-3.1508166790008545,3.1508166790008545,29,8
29,14135,base_enriched,active_fraction,-0.022094139829277992,0.007117290981113911,-3.104290723800659,3.104290723800659,20,8
30,15443,base_enriched,max,-2.048530101776123,0.6601973176002502,-3.102905750274658,3.102905750274658,41,8
31,7475,base_enriched,mean,-0.1742773801088333,0.05623680725693703,-3.0989913940429688,3.0989913940429688,53,8
32,10803,base_enriched,max,-0.6682209968566895,0.215772345662117,-3.096879720687866,3.096879720687866,11,8
33,5765,base_enriched,max,-1.8763717412948608,0.6077542901039124,-3.087385416030884,3.087385416030884,40,8
34,6770,base_enriched,max,-0.6655476689338684,0.2156069576740265,-3.0868561267852783,3.0868561267852783,9,8
35,6358,base_enriched,max,-1.5257694721221924,0.4945679306983948,-3.085055351257324,3.085055351257324,32,8
36,6192,base_enriched,active_fraction,-0.047501228749752045,0.015465742908418179,-3.071383476257324,3.071383476257324,41,8
37,9240,base_enriched,max,-1.36326265335083,0.4474168121814728,-3.0469634532928467,3.0469634532928467,76,8
38,7173,base_enriched,max,-2.670114278793335,0.8803883194923401,-3.0328824520111084,3.0328824520111084,29,8
39,3555,base_enriched,max,-1.6794655323028564,0.5554012656211853,-3.0238778591156006,3.0238778591156006,36,8
40,5061,base_enriched,max,-2.5583882331848145,0.8525825142860413,-3.000751495361328,3.000751495361328,16,8
41,2365,base_enriched,active_fraction,-0.009888282045722008,0.0032965114805847406,-2.999620199203491,2.999620199203491,9,8
42,12697,base_enriched,max,-0.9453226327896118,0.31618738174438477,-2.9897544384002686,2.9897544384002686,26,8
43,14464,base_enriched,max,-1.2457901239395142,0.4178045094013214,-2.9817535877227783,2.9817535877227783,30,8
44,13717,base_enriched,active_fraction,-0.022216571494936943,0.007459431886672974,-2.9783194065093994,2.9783194065093994,15,8
45,4852,base_enriched,max,-2.187034845352173,0.7352248430252075,-2.9746477603912354,2.9746477603912354,14,8
46,11811,base_enriched,max,-2.296625852584839,0.7792555093765259,-2.947205066680908,2.947205066680908,16,8
47,13137,base_enriched,active_fraction,-0.022174937650561333,0.007551411632448435,-2.9365286827087402,2.9365286827087402,22,8
48,8175,base_enriched,max,-3.088601589202881,1.0610135793685913,-2.910991668701172,2.910991668701172,27,8
49,1993,base_enriched,max,-2.2053682804107666,0.7609795928001404,-2.8980648517608643,2.8980648517608643,41,8
50,11653,base_enriched,max,-1.8585020303726196,0.6465398073196411,-2.8745360374450684,2.8745360374450684,21,8
51,4835,base_enriched,max,-2.1352570056915283,0.7506319284439087,-2.8446125984191895,2.8446125984191895,12,8
52,15750,base_enriched,max,-1.7372264862060547,0.6169900298118591,-2.815647602081299,2.815647602081299,63,8
53,640,base_enriched,max,-1.8182621002197266,0.6500499248504639,-2.7971115112304688,2.7971115112304688,48,8
54,4191,base_enriched,active_fraction,-0.017725512385368347,0.00633747223764658,-2.7969372272491455,2.7969372272491455,19,8
55,16166,base_enriched,max,-2.396723747253418,0.8579699993133545,-2.7934820652008057,2.7934820652008057,47,8
56,5998,base_enriched,mean,-0.16568027436733246,0.05938933044672012,-2.78973126411438,2.78973126411438,52,8
57,14955,base_enriched,max,-3.2160093784332275,1.1633987426757812,-2.764322519302368,2.764322519302368,10,8
58,3827,base_enriched,max,-2.903512477874756,1.052403211593628,-2.7589354515075684,2.7589354515075684,58,8
59,11976,base_enriched,max,-1.3032431602478027,0.4731105864048004,-2.754626989364624,2.754626989364624,56,8
60,5568,base_enriched,max,-2.336120128631592,0.8499506711959839,-2.7485361099243164,2.7485361099243164,31,8
61,6422,base_enriched,max,-2.982771635055542,1.0901621580123901,-2.7360806465148926,2.7360806465148926,16,8
62,7721,base_enriched,active_fraction,-0.04071374982595444,0.01490346621721983,-2.7318308353424072,2.7318308353424072,25,8
63,13764,base_enriched,max,-2.2145774364471436,0.8115317821502686,-2.7288856506347656,2.7288856506347656,14,8
64,914,base_enriched,active_fraction,-0.02718755230307579,0.009996255859732628,-2.719773530960083,2.719773530960083,18,8
65,13981,base_enriched,max,-1.519636631011963,0.5589540600776672,-2.718714714050293,2.718714714050293,41,8
66,6148,base_enriched,max,-1.0903393030166626,0.40119028091430664,-2.7177610397338867,2.7177610397338867,15,8
67,6904,base_enriched,active_fraction,-0.016570264473557472,0.006110785994678736,-2.711642026901245,2.711642026901245,11,8
68,15900,base_enriched,active_fraction,-0.015275714918971062,0.005647037178277969,-2.705084800720215,2.705084800720215,12,8
69,12438,base_enriched,max,-3.706050395965576,1.3726400136947632,-2.6999435424804688,2.6999435424804688,11,8
70,10631,base_enriched,max,-1.0834357738494873,0.4015406370162964,-2.69819712638855,2.69819712638855,50,8
71,7536,base_enriched,max,-1.0473763942718506,0.3888959288597107,-2.693204879760742,2.693204879760742,23,8
72,16274,base_enriched,max,-1.6840471029281616,0.62808758020401,-2.681229829788208,2.681229829788208,22,8
73,1028,base_enriched,max,-0.8903343677520752,0.3325277268886566,-2.677474021911621,2.677474021911621,20,8
74,6353,base_enriched,active_fraction,-0.04031555354595184,0.015057873912155628,-2.6773736476898193,2.6773736476898193,34,8
75,49,base_enriched,max,-1.0802550315856934,0.4058981239795685,-2.6613945960998535,2.6613945960998535,31,8
76,4751,base_enriched,max,-2.3379454612731934,0.8797960877418518,-2.657371997833252,2.657371997833252,55,8
77,15240,base_enriched,max,-1.4094754457473755,0.5310808420181274,-2.653975248336792,2.653975248336792,26,8
78,7590,base_enriched,active_fraction,-0.040336184203624725,0.015242772176861763,-2.646250009536743,2.646250009536743,17,8
79,15848,base_enriched,max,-2.9266693592071533,1.1084978580474854,-2.640212059020996,2.640212059020996,21,8
80,5938,base_enriched,active_fraction,-0.017026759684085846,0.006450024899095297,-2.6397974491119385,2.6397974491119385,16,8
81,8851,base_enriched,mean,-0.12539003789424896,0.04760163649916649,-2.6341538429260254,2.6341538429260254,54,8
82,39,base_enriched,active_fraction,-0.01412627287209034,0.0053901891224086285,-2.6207377910614014,2.6207377910614014,16,8
83,5682,base_enriched,max,-2.306307554244995,0.8841201066970825,-2.608590841293335,2.608590841293335,31,8
84,1997,base_enriched,mean,-0.07587283849716187,0.02917424961924553,-2.6006782054901123,2.6006782054901123,31,8
85,2089,base_enriched,max,-2.5208511352539062,0.9754778742790222,-2.584221839904785,2.584221839904785,28,8
86,13751,base_enriched,active_fraction,-0.018636122345924377,0.007247334811836481,-2.5714449882507324,2.5714449882507324,13,8
87,13732,base_enriched,max,-1.7801785469055176,0.6942639350891113,-2.5641236305236816,2.5641236305236816,21,8
88,13887,base_enriched,max,-1.3975584506988525,0.5463936924934387,-2.557786464691162,2.557786464691162,25,8
89,14364,base_enriched,max,-2.080868721008301,0.8150412440299988,-2.553083896636963,2.553083896636963,26,8
90,1531,base_enriched,max,-1.2049555778503418,0.47609803080558777,-2.530898094177246,2.530898094177246,57,8
91,5493,base_enriched,max,-1.9833717346191406,0.7861925363540649,-2.5227556228637695,2.5227556228637695,55,8
92,8488,base_enriched,max,-0.8593957424163818,0.3409615755081177,-2.5205061435699463,2.5205061435699463,21,8
93,5110,base_enriched,max,-2.1090760231018066,0.8435081839561462,-2.5003621578216553,2.5003621578216553,33,8
94,14123,base_enriched,active_fraction,-0.033898014575242996,0.013614706695079803,-2.4898085594177246,2.4898085594177246,19,8
95,16289,base_enriched,active_fraction,-0.026859834790229797,0.010788851417601109,-2.489591598510742,2.489591598510742,11,8
96,5838,base_enriched,active_fraction,-0.023098930716514587,0.00927929300814867,-2.4892985820770264,2.4892985820770264,23,8
97,8351,base_enriched,active_fraction,-0.0311280507594347,0.012580551207065582,-2.474299430847168,2.474299430847168,25,8
98,4612,base_enriched,max,-1.584604263305664,0.6409757137298584,-2.472175121307373,2.472175121307373,10,8
99,7988,base_enriched,max,-1.670870304107666,0.6764915585517883,-2.4699056148529053,2.4699056148529053,50,8
100,13988,base_enriched,max,-1.8135275840759277,0.7362445592880249,-2.4632134437561035,2.4632134437561035,60,8
101,6044,base_enriched,max,-2.2132465839385986,0.8994053602218628,-2.4607887268066406,2.4607887268066406,41,8
102,11368,base_enriched,max,-1.7683579921722412,0.7186886668205261,-2.46053409576416,2.46053409576416,31,8
103,12278,base_enriched,max,-1.5029783248901367,0.6108465194702148,-2.460484504699707,2.460484504699707,39,8
104,13337,base_enriched,active_fraction,-0.008742138743400574,0.003554734867066145,-2.459294080734253,2.459294080734253,8,8
105,5870,base_enriched,max,-0.9551835060119629,0.39007699489593506,-2.448704957962036,2.448704957962036,26,8
106,15368,base_enriched,max,-2.276458501815796,0.9338085055351257,-2.437821626663208,2.437821626663208,31,8
107,13314,base_enriched,mean,-0.016663968563079834,0.006844338495284319,-2.4347083568573,2.4347083568573,8,8
108,10741,base_enriched,max,-1.0956981182098389,0.4507800340652466,-2.430671453475952,2.430671453475952,57,8
109,12798,base_enriched,active_fraction,-0.01956208236515522,0.0080611826851964,-2.426701307296753,2.426701307296753,17,8
110,15733,base_enriched,max,-4.657569408416748,1.9201877117156982,-2.4255802631378174,2.4255802631378174,34,8
111,10399,base_enriched,max,-2.175166368484497,0.8972980976104736,-2.424129009246826,2.424129009246826,14,8
112,14429,base_enriched,mean,-0.030453257262706757,0.012572158128023148,-2.4222776889801025,2.4222776889801025,14,8
113,8415,base_enriched,max,-2.1574809551239014,0.8956417441368103,-2.4088659286499023,2.4088659286499023,38,8
114,3536,base_enriched,max,-1.2577323913574219,0.5274034142494202,-2.384763479232788,2.384763479232788,41,8
115,1644,base_enriched,max,-2.5729479789733887,1.0796623229980469,-2.3831043243408203,2.3831043243408203,26,8
116,283,base_enriched,active_fraction,-0.013894464820623398,0.0058339606039226055,-2.3816521167755127,2.3816521167755127,16,8
117,996,base_enriched,max,-3.4974913597106934,1.470132827758789,-2.37903094291687,2.37903094291687,23,8
118,2697,base_enriched,mean,-0.10000644624233246,0.042399559170007706,-2.3586671352386475,2.3586671352386475,33,8
119,4205,base_enriched,max,-1.4358230829238892,0.6093908548355103,-2.356161117553711,2.356161117553711,28,8
120,8640,base_enriched,active_fraction,-0.006846791598945856,0.0029274499975144863,-2.338824510574341,2.338824510574341,10,8
121,16308,base_enriched,max,-1.3337045907974243,0.5707668662071228,-2.336688995361328,2.336688995361328,40,8
122,10663,base_enriched,max,-1.2857036590576172,0.5502314567565918,-2.3366596698760986,2.3366596698760986,23,8
123,11913,base_enriched,active_fraction,-0.00514071062207222,0.0022005478385835886,-2.3361048698425293,2.3361048698425293,10,8
124,2135,base_enriched,active_fraction,-0.010734452866017818,0.0046117911115288734,-2.327610492706299,2.327610492706299,14,8
125,11284,base_enriched,max,-1.238910436630249,0.5328821539878845,-2.3249237537384033,2.3249237537384033,32,8
