rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,14175,specialized_enriched,max,2.348621368408203,0.5736207962036133,4.094379901885986,4.094379901885986,46,8
2,8686,specialized_enriched,max,1.8797258138656616,0.46895918250083923,4.008293151855469,4.008293151855469,34,8
3,4994,specialized_enriched,mean,0.48434484004974365,0.13060793280601501,3.708387613296509,3.708387613296509,80,8
4,10306,specialized_enriched,active_fraction,0.022142235189676285,0.006026520859450102,3.6741323471069336,3.6741323471069336,44,8
5,849,specialized_enriched,mean,0.10055921971797943,0.02890615537762642,3.4788167476654053,3.4788167476654053,62,8
6,3543,specialized_enriched,max,2.227987289428711,0.642248272895813,3.469043731689453,3.469043731689453,49,8
7,13607,specialized_enriched,mean,0.15890470147132874,0.046741124242544174,3.399676561355591,3.399676561355591,61,8
8,1705,specialized_enriched,max,1.0014013051986694,0.29552367329597473,3.3885655403137207,3.3885655403137207,16,8
9,14207,specialized_enriched,max,3.030001640319824,0.8959572911262512,3.381859540939331,3.381859540939331,41,8
10,11420,specialized_enriched,active_fraction,0.022399699315428734,0.006710611283779144,3.337952136993408,3.337952136993408,34,8
11,10050,specialized_enriched,max,2.659926176071167,0.835964024066925,3.1818668842315674,3.1818668842315674,41,8
12,11128,specialized_enriched,active_fraction,0.014389313757419586,0.0047674234956502914,3.0182578563690186,3.0182578563690186,20,8
13,2277,specialized_enriched,max,1.5578551292419434,0.5170039534568787,3.0132362842559814,3.0132362842559814,53,8
14,5050,specialized_enriched,active_fraction,0.02013079635798931,0.006693811621516943,3.0073742866516113,3.0073742866516113,30,8
15,4196,specialized_enriched,mean,0.1265123188495636,0.042496457695961,2.977008581161499,2.977008581161499,55,8
16,13467,specialized_enriched,active_fraction,0.022585852071642876,0.007601192221045494,2.9713566303253174,2.9713566303253174,30,8
17,13459,specialized_enriched,max,1.9637099504470825,0.6725221872329712,2.9199185371398926,2.9199185371398926,30,8
18,7910,specialized_enriched,active_fraction,0.018094945698976517,0.006281490903347731,2.8806769847869873,2.8806769847869873,32,8
19,14588,specialized_enriched,active_fraction,0.036372110247612,0.012656795792281628,2.8737218379974365,2.8737218379974365,19,8
20,10135,specialized_enriched,max,3.2420005798339844,1.129245638847351,2.870943546295166,2.870943546295166,80,8
21,7849,specialized_enriched,mean,0.07284341007471085,0.02545522339642048,2.8616292476654053,2.8616292476654053,19,8
22,12460,specialized_enriched,max,1.053313136100769,0.3688691258430481,2.855520009994507,2.855520009994507,28,8
23,1453,specialized_enriched,mean,0.05362123250961304,0.018833529204130173,2.8471155166625977,2.8471155166625977,33,8
24,13118,specialized_enriched,mean,0.35017162561416626,0.1235271468758583,2.8347747325897217,2.8347747325897217,60,8
25,12918,specialized_enriched,active_fraction,0.04201902821660042,0.015131121501326561,2.776993751525879,2.776993751525879,55,8
26,4905,specialized_enriched,active_fraction,0.047995321452617645,0.01729726791381836,2.7747342586517334,2.7747342586517334,33,8
27,13876,specialized_enriched,max,1.4722692966461182,0.530797004699707,2.773695468902588,2.773695468902588,24,8
28,5549,specialized_enriched,active_fraction,0.012355013750493526,0.004473823122680187,2.7616231441497803,2.7616231441497803,32,8
29,7007,specialized_enriched,active_fraction,0.03172231838107109,0.011616001836955547,2.7309153079986572,2.7309153079986572,40,8
30,12292,specialized_enriched,active_fraction,0.027356117963790894,0.010124845430254936,2.7018799781799316,2.7018799781799316,31,8
31,2200,specialized_enriched,mean,0.13019543886184692,0.048305440694093704,2.69525408744812,2.69525408744812,69,8
32,10319,specialized_enriched,max,1.2782118320465088,0.4778476059436798,2.674936056137085,2.674936056137085,21,8
33,558,specialized_enriched,max,1.1705503463745117,0.4385138154029846,2.669358015060425,2.669358015060425,21,8
34,7531,specialized_enriched,max,1.9116089344024658,0.7174938321113586,2.6642861366271973,2.6642861366271973,21,8
35,5681,specialized_enriched,mean,0.028390735387802124,0.01069346908479929,2.6549601554870605,2.6549601554870605,18,8
36,9840,specialized_enriched,mean,0.34512966871261597,0.13085435330867767,2.637510061264038,2.637510061264038,22,8
37,2258,specialized_enriched,max,0.5693345665931702,0.21640172600746155,2.6309151649475098,2.6309151649475098,20,8
38,1065,specialized_enriched,active_fraction,0.0237867534160614,0.009070733562111855,2.6223626136779785,2.6223626136779785,21,8
39,1838,specialized_enriched,mean,0.048780471086502075,0.018707802519202232,2.6074934005737305,2.6074934005737305,14,8
40,8411,specialized_enriched,max,1.2256402969360352,0.47030946612358093,2.606029510498047,2.606029510498047,25,8
41,7844,specialized_enriched,max,0.26421621441841125,0.1015596091747284,2.6015875339508057,2.6015875339508057,8,8
42,15039,specialized_enriched,mean,0.11641940474510193,0.0449962243437767,2.587315082550049,2.587315082550049,65,8
43,14893,specialized_enriched,mean,0.11085686087608337,0.04297026991844177,2.579850196838379,2.579850196838379,16,8
44,13013,specialized_enriched,max,1.655533790588379,0.6450310349464417,2.5665955543518066,2.5665955543518066,13,8
45,7558,specialized_enriched,active_fraction,0.00863783061504364,0.0033683315850794315,2.5644240379333496,2.5644240379333496,17,8
46,6956,specialized_enriched,active_fraction,0.01379864290356636,0.005387495271861553,2.561235189437866,2.561235189437866,29,8
47,4983,specialized_enriched,mean,0.033262431621551514,0.012989933602511883,2.560631275177002,2.560631275177002,25,8
48,13145,specialized_enriched,active_fraction,0.03251369297504425,0.012749400921165943,2.55021333694458,2.55021333694458,51,8
49,10918,specialized_enriched,max,1.556854486465454,0.6109689474105835,2.548172950744629,2.548172950744629,23,8
50,5388,specialized_enriched,max,1.8629670143127441,0.7378370761871338,2.5249030590057373,2.5249030590057373,30,8
51,1209,specialized_enriched,max,0.3378711938858032,0.13389265537261963,2.5234482288360596,2.5234482288360596,10,8
52,770,specialized_enriched,active_fraction,0.010620773769915104,0.004212412983179092,2.521304130554199,2.521304130554199,24,8
53,6269,specialized_enriched,mean,0.0918278619647026,0.03644927963614464,2.5193326473236084,2.5193326473236084,19,8
54,14659,specialized_enriched,active_fraction,0.020057860761880875,0.007968401536345482,2.5171749591827393,2.5171749591827393,19,8
55,10008,specialized_enriched,max,1.0371382236480713,0.41334861516952515,2.509112596511841,2.509112596511841,14,8
56,2092,specialized_enriched,active_fraction,0.021127205342054367,0.008442427963018417,2.5025033950805664,2.5025033950805664,21,8
57,10718,specialized_enriched,active_fraction,0.025021497160196304,0.010020779445767403,2.4969611167907715,2.4969611167907715,22,8
58,11865,specialized_enriched,active_fraction,0.009505772963166237,0.003817841876298189,2.4898288249969482,2.4898288249969482,22,8
59,57,specialized_enriched,max,2.720430850982666,1.0926626920700073,2.4897260665893555,2.4897260665893555,32,8
60,14854,specialized_enriched,active_fraction,0.020698944106698036,0.00831413734704256,2.4896080493927,2.4896080493927,33,8
61,9745,specialized_enriched,mean,0.11852321028709412,0.04765145480632782,2.4872946739196777,2.4872946739196777,20,8
62,11411,specialized_enriched,max,1.112710952758789,0.44773200154304504,2.4852163791656494,2.4852163791656494,30,8
63,12360,specialized_enriched,active_fraction,0.017773829400539398,0.007209688890725374,2.4652700424194336,2.4652700424194336,21,8
64,12746,specialized_enriched,mean,0.07516514509916306,0.030529888346791267,2.4620182514190674,2.4620182514190674,37,8
65,6111,specialized_enriched,mean,0.11390422284603119,0.046369414776563644,2.456451654434204,2.456451654434204,55,8
66,14706,specialized_enriched,mean,0.1176525205373764,0.04794367030262947,2.4539740085601807,2.4539740085601807,70,8
67,10657,specialized_enriched,max,0.4595761299133301,0.1873399019241333,2.45316743850708,2.45316743850708,32,8
68,9206,specialized_enriched,max,0.8661883473396301,0.3545474410057068,2.4430816173553467,2.4430816173553467,15,8
69,11381,specialized_enriched,max,1.5230116844177246,0.6248854398727417,2.437265396118164,2.437265396118164,19,8
70,1945,specialized_enriched,mean,0.09886042773723602,0.040629830211400986,2.4331982135772705,2.4331982135772705,63,8
71,15397,specialized_enriched,active_fraction,0.02110304683446884,0.00867469422519207,2.432713508605957,2.432713508605957,31,8
72,3763,specialized_enriched,active_fraction,0.006775983143597841,0.0027949856594204903,2.424335479736328,2.424335479736328,11,8
73,3823,specialized_enriched,active_fraction,0.01856645569205284,0.007776975631713867,2.387362003326416,2.387362003326416,55,8
74,15428,specialized_enriched,active_fraction,0.030651893466711044,0.01292293332517147,2.371899127960205,2.371899127960205,19,8
75,11494,specialized_enriched,mean,0.14555978775024414,0.06169616058468819,2.3593006134033203,2.3593006134033203,24,8
76,5268,specialized_enriched,mean,0.0911499410867691,0.038755279034376144,2.351936101913452,2.351936101913452,57,8
77,900,specialized_enriched,mean,0.08673390746116638,0.0369294211268425,2.348639726638794,2.348639726638794,56,8
78,3453,specialized_enriched,active_fraction,0.02429943159222603,0.010363561101257801,2.344698905944824,2.344698905944824,29,8
79,10193,specialized_enriched,active_fraction,0.03327108174562454,0.014201635494828224,2.342764139175415,2.342764139175415,69,8
80,2970,specialized_enriched,active_fraction,0.021542606875300407,0.009235810488462448,2.3325085639953613,2.3325085639953613,44,8
81,4149,specialized_enriched,max,2.0412397384643555,0.8764461278915405,2.328996181488037,2.328996181488037,20,8
82,10463,specialized_enriched,active_fraction,0.025524891912937164,0.0109679214656353,2.3272314071655273,2.3272314071655273,23,8
83,6602,specialized_enriched,mean,0.023465586826205254,0.010083938017487526,2.327026128768921,2.327026128768921,10,8
84,4013,specialized_enriched,max,1.0822129249572754,0.46548059582710266,2.324936628341675,2.324936628341675,70,8
85,8247,specialized_enriched,active_fraction,0.006909798830747604,0.002976389601826668,2.3215370178222656,2.3215370178222656,28,8
86,14144,specialized_enriched,max,0.6542955636978149,0.2825956344604492,2.3153066635131836,2.3153066635131836,21,8
87,7415,specialized_enriched,max,0.7548516392707825,0.3264755308628082,2.3121230602264404,2.3121230602264404,21,8
88,15246,specialized_enriched,active_fraction,0.01195237785577774,0.005175415426492691,2.309452772140503,2.309452772140503,14,8
89,12657,specialized_enriched,mean,0.0482763797044754,0.020978467538952827,2.301234722137451,2.301234722137451,19,8
90,9718,specialized_enriched,active_fraction,0.02338537760078907,0.010165022686123848,2.3005731105804443,2.3005731105804443,43,8
91,14759,specialized_enriched,mean,0.11645030975341797,0.05085056647658348,2.2900493144989014,2.2900493144989014,73,8
92,4931,specialized_enriched,max,0.6727900505065918,0.294672429561615,2.283179521560669,2.283179521560669,9,8
93,4585,specialized_enriched,max,1.9560866355895996,0.8587329387664795,2.2778754234313965,2.2778754234313965,26,8
94,12071,specialized_enriched,active_fraction,0.03009197488427162,0.01321321353316307,2.2774152755737305,2.2774152755737305,12,8
95,14353,specialized_enriched,mean,0.1100953072309494,0.04837888479232788,2.275689125061035,2.275689125061035,70,8
96,15739,specialized_enriched,mean,0.024934202432632446,0.010974987410008907,2.27191162109375,2.27191162109375,9,8
97,2932,specialized_enriched,active_fraction,0.012968894094228745,0.005710047669708729,2.2712409496307373,2.2712409496307373,23,8
98,8384,specialized_enriched,active_fraction,0.015844592824578285,0.006983682047575712,2.2688021659851074,2.2688021659851074,13,8
99,2211,specialized_enriched,max,1.6469717025756836,0.7270863056182861,2.265166759490967,2.265166759490967,21,8
100,11962,specialized_enriched,mean,0.03173452243208885,0.01408375520259142,2.2532713413238525,2.2532713413238525,13,8
101,14560,specialized_enriched,active_fraction,0.005708602257072926,0.0025362148880958557,2.250835418701172,2.250835418701172,9,8
102,616,specialized_enriched,mean,0.02970362827181816,0.013235445134341717,2.244248628616333,2.244248628616333,22,8
