rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,2913,base_enriched,max,-18.304569244384766,1.6723612546920776,-10.945343971252441,10.945343971252441,80,8
2,7728,base_enriched,max,-27.28539276123047,2.4935097694396973,-10.942564964294434,10.942564964294434,80,8
3,15821,base_enriched,max,-35.15776062011719,3.263545274734497,-10.772873878479004,10.772873878479004,80,8
4,12308,base_enriched,max,-18.547330856323242,1.7265985012054443,-10.742121696472168,10.742121696472168,80,8
5,16264,base_enriched,max,-16.34283447265625,1.542040467262268,-10.598187446594238,10.598187446594238,80,8
6,2957,base_enriched,max,-20.578157424926758,1.9444737434387207,-10.582893371582031,10.582893371582031,80,8
7,3602,base_enriched,max,-15.13493537902832,1.4323734045028687,-10.566333770751953,10.566333770751953,80,8
8,2621,base_enriched,max,-21.039194107055664,1.997701644897461,-10.531700134277344,10.531700134277344,80,8
9,6877,base_enriched,max,-27.204317092895508,2.5980944633483887,-10.47087287902832,10.47087287902832,78,8
10,14006,base_enriched,max,-24.563396453857422,2.3529248237609863,-10.439516067504883,10.439516067504883,80,8
11,9696,base_enriched,max,-23.423568725585938,2.246023178100586,-10.42890739440918,10.42890739440918,80,8
12,1159,base_enriched,max,-27.08926010131836,2.6012659072875977,-10.413875579833984,10.413875579833984,80,8
13,402,base_enriched,max,-19.725509643554688,1.8982924222946167,-10.391185760498047,10.391185760498047,80,8
14,9446,base_enriched,max,-29.083019256591797,2.8033533096313477,-10.374367713928223,10.374367713928223,77,8
15,15961,base_enriched,max,-24.105356216430664,2.3292019367218018,-10.349191665649414,10.349191665649414,80,8
16,1650,base_enriched,max,-17.289670944213867,1.6849920749664307,-10.260980606079102,10.260980606079102,80,8
17,5018,base_enriched,max,-30.96521759033203,3.022324323654175,-10.245497703552246,10.245497703552246,80,8
18,2168,base_enriched,max,-17.081302642822266,1.6698437929153442,-10.229281425476074,10.229281425476074,80,8
19,2649,base_enriched,max,-19.469024658203125,1.9095510244369507,-10.195603370666504,10.195603370666504,80,8
20,4810,base_enriched,max,-13.986964225769043,1.37638521194458,-10.162099838256836,10.162099838256836,80,8
21,1193,base_enriched,max,-35.1810302734375,3.4679806232452393,-10.144529342651367,10.144529342651367,79,8
