rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,11539,specialized_enriched,active_fraction,0.22346875071525574,0.03245686739683151,6.885098934173584,6.885098934173584,80,8
2,10963,specialized_enriched,mean,0.12507785856723785,0.01849372126162052,6.763260841369629,6.763260841369629,80,8
3,7546,specialized_enriched,mean,0.24777626991271973,0.03976432606577873,6.231119632720947,6.231119632720947,80,8
4,797,specialized_enriched,mean,0.12274225801229477,0.020040804520249367,6.124617099761963,6.124617099761963,80,8
5,2173,specialized_enriched,mean,0.09392362087965012,0.016001375392079353,5.86972188949585,5.86972188949585,80,8
6,14175,specialized_enriched,mean,0.10136114805936813,0.017322510480880737,5.851412296295166,5.851412296295166,78,8
7,12418,specialized_enriched,mean,0.09455393254756927,0.016530124470591545,5.72009801864624,5.72009801864624,80,8
8,6111,specialized_enriched,mean,0.1912977695465088,0.03344797343015671,5.719263553619385,5.719263553619385,80,8
9,9741,specialized_enriched,mean,0.1652117371559143,0.028900861740112305,5.716498851776123,5.716498851776123,80,8
10,15673,specialized_enriched,mean,0.10745146125555038,0.019180353730916977,5.602162837982178,5.602162837982178,80,8
11,9268,specialized_enriched,mean,0.1480427235364914,0.026494868099689484,5.587599754333496,5.587599754333496,80,8
12,8800,specialized_enriched,mean,0.10004932433366776,0.018216103315353394,5.492355823516846,5.492355823516846,80,8
13,12793,specialized_enriched,mean,0.08427360653877258,0.015536193735897541,5.424340724945068,5.424340724945068,80,8
14,1653,specialized_enriched,active_fraction,0.026852993294596672,0.005002883728593588,5.3675031661987305,5.3675031661987305,80,8
15,3291,specialized_enriched,active_fraction,0.03382381796836853,0.006339213345199823,5.335649013519287,5.335649013519287,80,8
16,6277,specialized_enriched,mean,0.12301173806190491,0.023086871951818466,5.328211784362793,5.328211784362793,80,8
17,1355,specialized_enriched,mean,0.07598458975553513,0.014293291606009007,5.316101551055908,5.316101551055908,80,8
18,7286,specialized_enriched,mean,0.09386063367128372,0.017798595130443573,5.2734856605529785,5.2734856605529785,80,8
19,392,specialized_enriched,active_fraction,0.03579123690724373,0.006789773236960173,5.271345138549805,5.271345138549805,80,8
20,4910,specialized_enriched,mean,0.07331162691116333,0.013995176181197166,5.238349914550781,5.238349914550781,80,8
21,11773,specialized_enriched,active_fraction,0.010707243345677853,0.0020490800961852074,5.225390434265137,5.225390434265137,71,8
22,11215,specialized_enriched,mean,0.05529753118753433,0.010586199350655079,5.223548889160156,5.223548889160156,69,8
23,15421,specialized_enriched,mean,0.08847201615571976,0.017263127490878105,5.124912261962891,5.124912261962891,80,8
24,2098,specialized_enriched,mean,0.06560308486223221,0.012839809991419315,5.109350204467773,5.109350204467773,80,8
25,16106,specialized_enriched,mean,0.09965772926807404,0.019513672217726707,5.107071876525879,5.107071876525879,80,8
26,12918,specialized_enriched,active_fraction,0.043871186673641205,0.008601032197475433,5.100688457489014,5.100688457489014,79,8
27,2,specialized_enriched,mean,0.15880294144153595,0.031236648559570312,5.083866119384766,5.083866119384766,80,8
28,2697,specialized_enriched,mean,0.06304462254047394,0.012466654181480408,5.057060241699219,5.057060241699219,80,8
29,15402,specialized_enriched,mean,0.11536788940429688,0.022824890911579132,5.054477214813232,5.054477214813232,80,8
30,286,specialized_enriched,mean,0.14575304090976715,0.028846949338912964,5.052632808685303,5.052632808685303,80,8
31,12451,specialized_enriched,active_fraction,0.02212357521057129,0.004442596808075905,4.979874610900879,4.979874610900879,79,8
32,3786,specialized_enriched,active_fraction,0.10113747417926788,0.020311694592237473,4.979273319244385,4.979273319244385,80,8
