rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,2468,base_enriched,max,-5.652581214904785,0.7758446335792542,-7.285712718963623,7.285712718963623,62,8
2,14295,base_enriched,max,-7.134776592254639,0.9949721097946167,-7.170830726623535,7.170830726623535,63,8
3,8661,base_enriched,max,-5.594969272613525,0.7924429178237915,-7.060406684875488,7.060406684875488,63,8
4,7728,base_enriched,max,-14.700315475463867,2.0960397720336914,-7.013376235961914,7.013376235961914,56,8
5,2913,base_enriched,max,-8.99941635131836,1.2921321392059326,-6.964780330657959,6.964780330657959,59,8
6,2957,base_enriched,max,-12.227396011352539,1.7586548328399658,-6.952698230743408,6.952698230743408,70,8
7,9700,base_enriched,max,-5.880251884460449,0.8583760857582092,-6.850437641143799,6.850437641143799,71,8
8,6305,base_enriched,max,-8.736393928527832,1.2841193675994873,-6.803412437438965,6.803412437438965,63,8
9,10736,base_enriched,max,-8.483623504638672,1.2500814199447632,-6.78645658493042,6.78645658493042,66,8
10,3602,base_enriched,max,-8.554219245910645,1.2948311567306519,-6.606436252593994,6.606436252593994,59,8
11,10961,base_enriched,max,-4.572925567626953,0.6967323422431946,-6.563389301300049,6.563389301300049,61,8
12,10080,base_enriched,max,-7.469552993774414,1.1531678438186646,-6.477420330047607,6.477420330047607,76,8
13,9944,base_enriched,max,-5.966339111328125,0.9322869181632996,-6.399681091308594,6.399681091308594,77,8
14,7585,base_enriched,max,-13.715616226196289,2.148742437362671,-6.383090019226074,6.383090019226074,56,8
15,12308,base_enriched,max,-10.165517807006836,1.6012568473815918,-6.348461627960205,6.348461627960205,56,8
16,5827,base_enriched,max,-3.779221534729004,0.6020779609680176,-6.276963710784912,6.276963710784912,66,8
17,11340,base_enriched,max,-6.776585102081299,1.0824334621429443,-6.260509490966797,6.260509490966797,62,8
18,9537,base_enriched,max,-8.224940299987793,1.3223071098327637,-6.220143795013428,6.220143795013428,59,8
19,7519,base_enriched,max,-4.502910614013672,0.7247264981269836,-6.213254928588867,6.213254928588867,78,8
20,1696,base_enriched,max,-12.794401168823242,2.0611376762390137,-6.207446098327637,6.207446098327637,60,8
21,1572,base_enriched,max,-9.9373140335083,1.6028776168823242,-6.199671268463135,6.199671268463135,62,8
22,1650,base_enriched,max,-9.494975090026855,1.5399988889694214,-6.165572643280029,6.165572643280029,60,8
23,9696,base_enriched,max,-12.61709976196289,2.049645185470581,-6.15574836730957,6.15574836730957,52,8
24,11361,base_enriched,max,-15.59158706665039,2.5578455924987793,-6.095593452453613,6.095593452453613,51,8
25,708,base_enriched,active_fraction,-0.021568845957517624,0.0035713568795472383,-6.039398193359375,6.039398193359375,48,8
