analysis,group_a,group_b,centroid_cosine
same_text,base_pass_finetuned_fail,base_pass_finetuned_fail,1.0
same_text,base_pass_finetuned_fail,base_fail_finetuned_pass,-0.1280115842819214
same_text,base_pass_finetuned_fail,both_pass,-0.29727303981781006
same_text,base_pass_finetuned_fail,both_fail,-0.08287039399147034
same_text,base_fail_finetuned_pass,base_fail_finetuned_pass,1.0
same_text,base_fail_finetuned_pass,both_pass,-0.36447519063949585
same_text,base_fail_finetuned_pass,both_fail,-0.04007335007190704
same_text,both_pass,both_pass,1.0
same_text,both_pass,both_fail,-0.746399462223053
same_text,both_fail,both_fail,1.0
different_own_text,base_pass_finetuned_fail,base_pass_finetuned_fail,1.0
different_own_text,base_pass_finetuned_fail,base_fail_finetuned_pass,0.09614614397287369
different_own_text,base_pass_finetuned_fail,both_pass,-0.5225603580474854
different_own_text,base_pass_finetuned_fail,both_fail,0.09613719582557678
different_own_text,base_fail_finetuned_pass,base_fail_finetuned_pass,1.0
different_own_text,base_fail_finetuned_pass,both_pass,-0.28298208117485046
different_own_text,base_fail_finetuned_pass,both_fail,-0.2743064761161804
different_own_text,both_pass,both_pass,1.0000001192092896
different_own_text,both_pass,both_fail,-0.48076826333999634
different_own_text,both_fail,both_fail,1.0
