group,analysis,n_tasks,consensus_pc1_explained_energy,mean_signed_cosine_to_consensus,median_signed_cosine_to_consensus,mean_delta_norm
base_pass_finetuned_fail,same_text_deepseek_base,7,0.4154398441314697,0.5856322646141052,0.6677389144897461,47.07898548671177
base_pass_finetuned_fail,same_text_deepseek_finetuned,7,0.5518275499343872,0.7324185967445374,0.7155942916870117,41.77469907488142
base_pass_finetuned_fail,different_own_text,7,0.5290314555168152,0.7181790471076965,0.7368780374526978,42.44268580845424
base_fail_finetuned_pass,same_text_deepseek_base,10,0.5170619487762451,0.6911550760269165,0.7349945902824402,53.463144302368164
base_fail_finetuned_pass,same_text_deepseek_finetuned,10,0.46197137236595154,0.6715818643569946,0.7040709853172302,48.581929779052736
base_fail_finetuned_pass,different_own_text,10,0.44104981422424316,0.6577215194702148,0.6911618113517761,49.89691696166992
both_pass,same_text_deepseek_base,10,0.46538886427879333,0.6723904013633728,0.6613526344299316,50.1358455657959
both_pass,same_text_deepseek_finetuned,10,0.46229538321495056,0.6751327514648438,0.6699318885803223,53.85860176086426
both_pass,different_own_text,10,0.47749075293540955,0.68720543384552,0.6859902143478394,53.89327545166016
both_fail,same_text_deepseek_base,10,0.6622767448425293,0.7744105458259583,0.9008563756942749,56.5081069946289
both_fail,same_text_deepseek_finetuned,10,0.4872745871543884,0.6951653361320496,0.7073516845703125,46.2291145324707
both_fail,different_own_text,10,0.4243412911891937,0.6375458240509033,0.680753231048584,49.30992088317871
