feature_id,failure_pr_auc,failure_baseline,failure_normalized_effect,failure_null_mean,failure_null_sd,failure_effect_null_mean,failure_effect_null_sd,failure_effect_to_variability,success_pr_auc,success_baseline,success_normalized_effect,success_null_mean,success_null_sd,success_effect_null_mean,success_effect_null_sd,success_effect_to_variability,selected_direction,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum
0,,0.6646341463414634,,,,,,,,0.33536585365853655,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,0.6646341463414634,,,,,,,,0.33536585365853655,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7083982003918218,0.6646341463414634,0.1304964520774321,0.6791321039199829,0.03722172603011131,0.04323027282953262,0.11098840832710266,0.7862639041611487,0.32463329722042383,0.33536585365853655,-0.016148066567435646,0.3499283492565155,0.04000391811132431,0.021910525858402252,0.060189392417669296,-0.6323139493042191,high_activation_associated_with_failure,0.7083982003918218,0.1304964520774321,0.7862639041611487,1.0,True,164,1.0,164,2.7337870597839355,2.755955696105957,4.17449426651001,1.77982759475708,2.4375009536743164,3.041318893432617,3.6405913829803467,2.6172573566436768,2.605130672454834,4.17449426651001,2.7925875186920166,2.7888894081115723,4.006847858428955
3,0.6385747239724315,0.6646341463414634,-0.07770445942765881,0.6730666160583496,0.035042375326156616,0.025144090875983238,0.10448998957872391,-0.9842909423027056,0.4048169840752399,0.33536585365853655,0.10449527879210414,0.3556937873363495,0.03988638147711754,0.030585119500756264,0.060012560337781906,1.2315781708919442,high_activation_associated_with_success,0.4048169840752399,0.10449527879210414,1.2315781708919442,1.0,True,164,1.0,164,2.5302278995513916,2.5485074520111084,3.758012056350708,1.5336334705352783,2.1499545574188232,2.925997257232666,3.4925119876861572,2.5484015941619873,2.557515859603882,3.758012056350708,2.521056890487671,2.5423264503479004,3.6982507705688477
4,,0.6646341463414634,,,,,,,,0.33536585365853655,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7315165033424236,0.6646341463414634,0.19943102814831748,0.6739945411682129,0.03351259604096413,0.027911823242902756,0.09992846101522446,1.7164199584669193,0.2958842321525364,0.33536585365853655,-0.05940354061453234,0.35571426153182983,0.03843166306614876,0.030615974217653275,0.057823773473501205,-1.5567907354479158,high_activation_associated_with_failure,0.7315165033424236,0.19943102814831748,1.7164199584669193,1.0,True,164,1.0,164,2.160534620285034,2.157843589782715,3.4368510246276855,1.3468737602233887,1.9659490585327148,2.445737838745117,2.8541743755340576,2.076449394226074,2.0849461555480957,2.912321090698242,2.2029621601104736,2.176360845565796,3.4368510246276855
6,0.6766850954594693,0.6646341463414634,0.03593373918823566,0.6726056933403015,0.035016756504774094,0.023769788444042206,0.10441359877586365,0.11649776357488492,0.34924001609000654,0.33536585365853655,0.020874886594138338,0.35620421171188354,0.04071566462516785,0.03135316073894501,0.06126028671860695,-0.17104513716916772,high_activation_associated_with_failure,0.6766850954594693,0.03593373918823566,0.11649776357488492,1.0,True,164,1.0,164,3.2975430488586426,3.2886199951171875,4.635959625244141,2.3088150024414062,2.959332227706909,3.6826040744781494,4.257674694061279,3.273844003677368,3.2621021270751953,4.628020286560059,3.309500217437744,3.3236382007598877,4.635959625244141
7,,0.6646341463414634,,,,,,,,0.33536585365853655,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,0.6646341463414634,,,,,,,,0.33536585365853655,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.7045787589467957,0.6646341463414634,0.11910757213226336,0.674571692943573,0.03275147080421448,0.02963169291615486,0.09765893220901489,0.9162078387730824,0.32011384351385097,0.33536585365853655,-0.022947978566315915,0.35352227091789246,0.03620367869734764,0.027317898347973824,0.05447159335017204,-0.9227906477997487,high_activation_associated_with_failure,0.7045787589467957,0.11910757213226336,0.9162078387730824,1.0,True,164,1.0,164,3.1779792308807373,3.2166364192962646,5.685710906982422,1.875670075416565,2.6695470809936523,3.728381395339966,4.398849010467529,3.0560781955718994,3.326474189758301,4.844770908355713,3.239490270614624,3.2132420539855957,5.685710906982422
10,0.702951515071641,0.6646341463414634,0.11425542675907488,0.6776308417320251,0.03374136611819267,0.038753002882003784,0.10061060637235641,0.7504419921458301,0.3226958328407993,0.33536585365853655,-0.019063150588155157,0.35045748949050903,0.03863879293203354,0.02270667813718319,0.05813545361161232,-0.7184914906554543,high_activation_associated_with_failure,0.702951515071641,0.11425542675907488,0.7504419921458301,1.0,True,164,1.0,164,2.4201149940490723,2.439708709716797,3.816006660461426,1.5892661809921265,2.125931739807129,2.7247252464294434,3.3007986545562744,2.3581013679504395,2.4152493476867676,3.816006660461426,2.4514057636260986,2.452455520629883,3.7593631744384766
11,,0.6646341463414634,,,,,,,,0.33536585365853655,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,,0.6646341463414634,,,,,,,,0.33536585365853655,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
