feature_id,failure_pr_auc,failure_baseline,failure_normalized_effect,failure_null_mean,failure_null_sd,failure_effect_null_mean,failure_effect_null_sd,failure_effect_to_variability,success_pr_auc,success_baseline,success_normalized_effect,success_null_mean,success_null_sd,success_effect_null_mean,success_effect_null_sd,success_effect_to_variability,selected_direction,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum
0,,0.6470588235294118,,,,,,,,0.3529411764705882,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6506238859180036,0.6470588235294118,0.010101010101010038,0.6493590474128723,0.001705906237475574,0.006515050306916237,0.0048334039747715,0.7419118726287156,0.35294117647058826,0.3529411764705882,8.57899609937621e-17,0.3571949899196625,0.005733809899538755,0.006574064958840609,0.008861343376338482,-0.7418813016990811,high_activation_associated_with_failure,0.6506238859180036,0.010101010101010038,0.7419118726287156,1.0,False,1,0.006535947712418301,2,0.0002768328122328967,0.0,0.04235541820526123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042783250682987273,0.0,0.04235541820526123
2,0.7018746552669823,0.6470588235294118,0.1553115232564499,0.6593355536460876,0.03920227661728859,0.03478409722447395,0.11107312142848969,1.0851178438302291,0.32967987605911697,0.3529411764705882,-0.0359492824540919,0.37133899331092834,0.04296265169978142,0.028433118015527725,0.0663968026638031,-0.9696611566616649,high_activation_associated_with_failure,0.7018746552669823,0.1553115232564499,1.0851178438302291,1.0,True,153,1.0,153,2.6887989044189453,2.7151753902435303,4.17449426651001,1.797427773475647,2.40549635887146,2.965778350830078,3.4972293376922607,2.562929153442383,2.5815649032592773,4.17449426651001,2.7574548721313477,2.770019292831421,4.006847858428955
3,0.6826803313685431,0.6470588235294118,0.1009276055442054,0.6601700782775879,0.03899727761745453,0.03714846447110176,0.1104922965168953,0.5772270382972013,0.34139271888182976,0.3529411764705882,-0.017847616273535774,0.3708028793334961,0.04182489216327667,0.02760431356728077,0.06463846564292908,-0.7031715463652658,high_activation_associated_with_failure,0.6826803313685431,0.1009276055442054,0.5772270382972013,1.0,True,153,1.0,153,2.621049642562866,2.569324493408203,3.8251826763153076,1.8986505270004272,2.3800406455993652,2.9268569946289062,3.309859037399292,2.558905601501465,2.563694953918457,3.5741498470306396,2.654947280883789,2.601654529571533,3.8251826763153076
4,,0.6470588235294118,,,,,,,,0.3529411764705882,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7115510589569982,0.6470588235294118,0.18272800037816153,0.6585200428962708,0.036919333040714264,0.03247300907969475,0.10460476577281952,1.4364067467517718,0.31558871432951763,0.3529411764705882,-0.05772653239983634,0.37173038721084595,0.039982669055461884,0.029037877917289734,0.061791397631168365,-1.4041503128804615,high_activation_associated_with_failure,0.7115510589569982,0.18272800037816153,1.4364067467517718,1.0,True,153,1.0,153,2.2115557193756104,2.236445426940918,3.436849594116211,1.3309885263442993,1.9812973737716675,2.502394676208496,2.8731443881988525,2.114459753036499,2.2149481773376465,2.9206838607788086,2.264516592025757,2.2519030570983887,3.436849594116211
6,0.749194068917123,0.6470588235294118,0.28938319526518186,0.6559944152832031,0.03515314310789108,0.025317015126347542,0.09960058331489563,2.65125134161079,0.29084735591397515,0.3529411764705882,-0.09596317722385654,0.37380748987197876,0.03875948116183281,0.032247912138700485,0.05990101397037506,-2.1403826223370066,high_activation_associated_with_failure,0.749194068917123,0.28938319526518186,2.65125134161079,1.0,True,153,1.0,153,3.4031431674957275,3.3334641456604004,4.635959625244141,2.481168270111084,3.0615618228912354,3.7917277812957764,4.296329975128174,3.252845287322998,3.2673068046569824,4.553928852081299,3.4851233959198,3.439511299133301,4.635959625244141
7,,0.6470588235294118,,,,,,,,0.3529411764705882,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,0.6470588235294118,,,,,,,,0.3529411764705882,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.6962548855241598,0.6470588235294118,0.13938884231845272,0.6645793318748474,0.039776258170604706,0.0496409572660923,0.11269938945770264,0.7963475710402479,0.3400995453088827,0.3529411764705882,-0.019846157249908503,0.3652971386909485,0.04201503098011017,0.01909557171165943,0.06493233889341354,-0.5997278032059001,high_activation_associated_with_failure,0.6962548855241598,0.13938884231845272,0.7963475710402479,1.0,True,153,1.0,153,3.228102922439575,3.297201156616211,4.785930156707764,1.8140689134597778,2.936286687850952,3.7264440059661865,4.248798370361328,3.0552103519439697,3.253488540649414,4.785930156707764,3.3224077224731445,3.3239474296569824,4.661349296569824
