feature_id,failure_pr_auc,failure_baseline,failure_normalized_effect,failure_null_mean,failure_null_sd,failure_effect_null_mean,failure_effect_null_sd,failure_effect_to_variability,success_pr_auc,success_baseline,success_normalized_effect,success_null_mean,success_null_sd,success_effect_null_mean,success_effect_null_sd,success_effect_to_variability,selected_direction,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum
0,0.9900038234433891,0.9792256846081209,0.5188204102976848,0.9794874787330627,0.004374031443148851,0.012610869482159615,0.2105499505996704,2.4042254076706375,0.014556010939936696,0.020774315391879128,-0.006350226050730025,0.027067488059401512,0.01263533253222704,0.006426685489714146,0.01290339045226574,-0.9901980094077243,high_activation_associated_with_failure,0.9900038234433891,0.5188204102976848,2.4042254076706375,0.6666666666666666,True,1059,1.0,1059,2.3088865280151367,2.3095390796661377,3.8406479358673096,1.7280333042144775,2.052379846572876,2.5465030670166016,2.9197134971618652,2.086728096008301,2.063826084136963,2.7178854942321777,2.3135993480682373,2.3172104358673096,3.8406479358673096
1,,0.9792256846081209,,,,,,,,0.020774315391879128,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9887958948361416,0.9792256846081209,0.46067511961245283,0.9796144366264343,0.004291281569749117,0.01871420629322529,0.2065666913986206,2.139555561096521,0.01525764811798237,0.020774315391879128,-0.0056337036095049815,0.026371553540229797,0.010495895519852638,0.005715987179428339,0.010718565434217453,-1.058881513444056,high_activation_associated_with_failure,0.9887958948361416,0.46067511961245283,2.139555561096521,0.900497512437811,True,1059,1.0,1059,2.37038516998291,2.372779130935669,4.242917060852051,1.6486937999725342,2.083096981048584,2.652857542037964,3.099492073059082,2.137272834777832,2.162760019302368,2.916522741317749,2.375330686569214,2.377943277359009,4.242917060852051
3,0.9872529053201914,0.9792256846081209,0.38640121518557624,0.9794320464134216,0.0039850203320384026,0.00994870625436306,0.19182437658309937,1.9624852463322455,0.016150415509477944,0.020774315391879128,-0.0047219961190577186,0.026344221085309982,0.009167092852294445,0.005688073113560677,0.009361573494970798,-1.1119999472536177,high_activation_associated_with_failure,0.9872529053201914,0.38640121518557624,1.9624852463322455,0.9900497512437811,True,1059,1.0,1059,2.416285991668701,2.37713360786438,3.915883779525757,1.7488683462142944,2.090581178665161,2.6904752254486084,3.2080910205841064,2.201244831085205,2.172091484069824,3.2190146446228027,2.4208486080169678,2.38468861579895,3.915883779525757
4,0.9872917782203205,0.9792256846081209,0.38827241524179357,0.9794111847877502,0.00445679621770978,0.008940387517213821,0.21453388035297394,1.7681683988583172,0.016160383108982664,0.020774315391879128,-0.004711817056496968,0.02630884386599064,0.009424618445336819,0.005651948042213917,0.009624559432268143,-1.0768041042963914,high_activation_associated_with_failure,0.9872917782203205,0.38827241524179357,1.7681683988583172,0.9900497512437811,True,1059,1.0,1059,1.8831944465637207,1.7124958038330078,7.5455827713012695,1.1643245220184326,1.4995200634002686,1.9262486696243286,3.0478222370147705,1.5788801908493042,1.4989917278289795,2.2230989933013916,1.889650583267212,1.7153148651123047,7.5455827713012695
5,0.976846595587987,0.9792256846081209,-0.11452069419644259,0.9786714315414429,0.00461964076384902,-0.02667147107422352,0.22237272560596466,-0.39505394774844954,0.04651202955649409,0.020774315391879128,0.026283740887490113,0.02948721870779991,0.013929485343396664,0.008897742256522179,0.014224999584257603,1.2222143507271885,high_activation_associated_with_success,0.04651202955649409,0.026283740887490113,1.2222143507271885,1.0,True,1059,1.0,1059,2.1786203384399414,2.193228006362915,3.2595889568328857,1.4978463649749756,1.946760892868042,2.422001600265503,2.8060061931610107,2.187251091003418,2.174968719482422,3.256537675857544,2.178436756134033,2.196242094039917,3.2595889568328857
6,0.9853470827541484,0.9792256846081209,0.2946618471201431,0.9792216420173645,0.00452788919210434,-0.0002000208623940125,0.21795611083507538,1.3528497404950273,0.01781250963874341,0.020774315391879128,-0.003024640590714297,0.02769237756729126,0.011862549930810928,0.0070648277178406715,0.012114212848246098,-0.832862063342046,high_activation_associated_with_failure,0.9853470827541484,0.2946618471201431,1.3528497404950273,1.0,True,1059,1.0,1059,3.1074349880218506,3.016176462173462,6.033531665802002,1.9503055810928345,2.508157730102539,3.6550302505493164,4.535547733306885,2.9110777378082275,2.8884692192077637,4.397560119628906,3.111600399017334,3.0190815925598145,6.033531665802002
7,0.9927743493321541,0.9792256846081209,0.6521834519432378,0.979383111000061,0.004672619514167309,0.007599660195410252,0.22492294013500214,2.865798354587303,0.013184969194287306,0.020774315391879128,-0.0077503545065089096,0.027397291734814644,0.012673579156398773,0.006763489451259375,0.012942447327077389,-1.121414180098946,high_activation_associated_with_failure,0.9927743493321541,0.6521834519432378,2.865798354587303,0.05472636815920398,True,1059,1.0,1059,2.173398017883301,2.1482880115509033,3.88122296333313,1.4852007627487183,1.8857693672180176,2.44252872467041,2.9221715927124023,1.8022910356521606,1.8210582733154297,2.538956880569458,2.1812705993652344,2.1556997299194336,3.88122296333313
8,,0.9792256846081209,,,,,,,,0.020774315391879128,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.9642949143459834,0.9792256846081209,-0.718712986709256,0.9790314435958862,0.004583823960274458,-0.009346183389425278,0.2206486612558365,-3.214915509944282,0.07305077452997426,0.020774315391879128,0.05338550648721576,0.027654476463794708,0.010808494873344898,0.007026122882962227,0.011037798598408699,4.2000570304786216,high_activation_associated_with_success,0.07305077452997426,0.05338550648721576,4.2000570304786216,1.0,True,1059,1.0,1059,2.6019976139068604,2.568159580230713,4.6834282875061035,1.6939736604690552,2.2554681301116943,2.957688331604004,3.618943214416504,2.8398332595825195,2.982438564300537,4.277944087982178,2.596951723098755,2.5659847259521484,4.6834282875061035
