feature_id,failure_pr_auc,failure_baseline,failure_normalized_effect,failure_null_mean,failure_null_sd,failure_effect_null_mean,failure_effect_null_sd,failure_effect_to_variability,success_pr_auc,success_baseline,success_normalized_effect,success_null_mean,success_null_sd,success_effect_null_mean,success_effect_null_sd,success_effect_to_variability,selected_direction,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum
0,0.9540631679896291,0.8924050632911392,0.5730576789624352,0.8958702087402344,0.02346709929406643,0.03220333158969879,0.2181059569120407,2.479777971359379,0.0752267954382195,0.10759493670886078,-0.03627068312596682,0.13488969206809998,0.038203492760658264,0.030585598200559616,0.042809586971998215,-1.5617128324610368,high_activation_associated_with_failure,0.9540631679896291,0.5730576789624352,2.479777971359379,0.582089552238806,True,158,1.0,158,2.042123556137085,2.096468448638916,2.921830892562866,1.3032177686691284,1.8026071786880493,2.308839797973633,2.6730735301971436,1.7307018041610718,1.7741411924362183,2.290238618850708,2.0796713829040527,2.118133544921875,2.921830892562866
1,,0.8924050632911392,,,,,,,,0.10759493670886078,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9648369701587822,0.8924050632911392,0.6731906638286819,0.8966805338859558,0.023435818031430244,0.039733219891786575,0.21781526505947113,2.908232550936866,0.06839978912679161,0.10759493670886078,-0.04392080367352432,0.1327022910118103,0.04003286361694336,0.028134502470493317,0.044859521090984344,-1.6062433211864802,high_activation_associated_with_failure,0.9648369701587822,0.6731906638286819,2.908232550936866,0.14925373134328357,True,158,1.0,158,1.7904045581817627,1.7678558826446533,2.976973056793213,0.949252724647522,1.4963587522506714,2.111685037612915,2.596414566040039,1.3076897859573364,1.2632473707199097,2.310495615005493,1.8486042022705078,1.8002073764801025,2.976973056793213
3,0.9578627650326238,0.8924050632911392,0.6083715808914447,0.8981916904449463,0.023351378738880157,0.053778838366270065,0.21703042089939117,2.5553686908355915,0.07359351799874012,0.10759493670886078,-0.0381008805404189,0.13034039735794067,0.03871671482920647,0.02548777125775814,0.04338468611240387,-1.4656934853332217,high_activation_associated_with_failure,0.9578627650326238,0.6083715808914447,2.5553686908355915,0.39800995024875624,True,158,1.0,158,2.2102463245391846,2.1631178855895996,3.304746150970459,1.649578332901001,1.9322246313095093,2.432225227355957,2.951552391052246,1.9424303770065308,1.9501872062683105,2.4289257526397705,2.2425358295440674,2.1924774646759033,3.304746150970459
4,0.9524033962904597,0.8924050632911392,0.5576315655230958,0.8952574729919434,0.022874698042869568,0.026513881981372833,0.21260012686252594,2.4982002192555637,0.07388720450723388,0.10759493670886078,-0.037771785020262766,0.13525725901126862,0.039645906537771225,0.03099747747182846,0.04442591220140457,-1.5479538648599098,high_activation_associated_with_failure,0.9524033962904597,0.5576315655230958,2.4982002192555637,0.6218905472636815,True,158,1.0,158,1.5064665079116821,1.4895169734954834,2.5513973236083984,0.9445098638534546,1.2362685203552246,1.7657047510147095,2.0281734466552734,1.2239017486572266,1.1892646551132202,1.919936180114746,1.540534496307373,1.5415705442428589,2.5513973236083984
5,0.9462101888483296,0.8924050632911392,0.500071166943299,0.8969024419784546,0.022442994639277458,0.04179900139570236,0.2085878700017929,2.197022125704901,0.07772167996774948,0.10759493670886078,-0.03347499691557153,0.13275651633739471,0.03762151300907135,0.0281952116638422,0.04215744137763977,-1.4628546364325492,high_activation_associated_with_failure,0.9462101888483296,0.500071166943299,2.197022125704901,0.8208955223880597,True,158,1.0,158,1.973948359489441,1.944310188293457,3.0944108963012695,1.3200647830963135,1.7235238552093506,2.2460038661956787,2.67134952545166,1.7110360860824585,1.6256396770477295,2.620044231414795,2.0056469440460205,1.9636541604995728,3.0944108963012695
6,0.9650805022385106,0.8924050632911392,0.6754540796285105,0.8949032425880432,0.02272961474955082,0.02321450039744377,0.21125172078609467,3.0874994854669104,0.07240885095042589,0.10759493670886078,-0.03942837978604761,0.13458552956581116,0.0367988757789135,0.03024478256702423,0.04123562574386597,-1.6896351418514877,high_activation_associated_with_failure,0.9650805022385106,0.6754540796285105,3.0874994854669104,0.13930348258706468,True,158,1.0,158,2.199760913848877,2.126394271850586,3.395047187805176,1.5177470445632935,1.916638970375061,2.483247756958008,2.9374754428863525,1.878281593322754,1.9324241876602173,2.2235519886016846,2.238521099090576,2.185222625732422,3.395047187805176
7,0.9602543682076359,0.8924050632911392,0.6305994221650865,0.8970277309417725,0.02326195500791073,0.042965054512023926,0.2161993533372879,2.718020931063133,0.07120864058182465,0.10759493670886078,-0.0407732963693029,0.13118845224380493,0.03485845401883125,0.02643807977437973,0.03906124085187912,-1.720666693578663,high_activation_associated_with_failure,0.9602543682076359,0.6305994221650865,2.718020931063133,0.30845771144278605,True,158,1.0,158,1.8274457454681396,1.8039510250091553,4.11962366104126,1.1152396202087402,1.4416899681091309,2.1093528270721436,2.7995874881744385,1.4535036087036133,1.4002673625946045,2.1928224563598633,1.8725309371948242,1.8317022323608398,4.11962366104126
8,0.8931681479486488,0.8924050632911392,0.007092198581560064,0.893096387386322,0.000223741473746486,0.006418225355446339,0.0020794663578271866,0.32410874240733245,0.10759493670886076,0.10759493670886078,-1.5550996266912655e-17,0.11258189380168915,0.015392156317830086,0.005588235799223185,0.01724795065820217,-0.32399418980049927,high_activation_associated_with_failure,0.8931681479486488,0.007092198581560064,0.32410874240733245,1.0,False,1,0.006329113924050633,2,0.0004371565592009574,0.0,0.0690707340836525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000489863334223628,0.0,0.0690707340836525
9,0.9584713820908404,0.8924050632911392,0.6140281394325164,0.8956299424171448,0.02272224612534046,0.02997330017387867,0.21118319034576416,2.7656312905510214,0.07145169126045064,0.10759493670886078,-0.040500941708147525,0.13428424298763275,0.03898423910140991,0.029907193034887314,0.043684475123882294,-1.6117427196588365,high_activation_associated_with_failure,0.9584713820908404,0.6140281394325164,2.7656312905510214,0.3681592039800995,True,158,1.0,158,2.450778007507324,2.440443992614746,4.245447158813477,1.3248498439788818,1.8499195575714111,2.936460256576538,3.76548171043396,1.8229542970657349,1.5767508745193481,3.3257575035095215,2.5264732837677,2.50661563873291,4.245447158813477
