feature_id,failure_pr_auc,failure_baseline,failure_normalized_effect,failure_null_mean,failure_null_sd,failure_effect_null_mean,failure_effect_null_sd,failure_effect_to_variability,success_pr_auc,success_baseline,success_normalized_effect,success_null_mean,success_null_sd,success_effect_null_mean,success_effect_null_sd,success_effect_to_variability,selected_direction,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum
0,0.5663757162572322,0.6029411764705882,-0.0920907886854893,0.6222071647644043,0.038902316242456436,0.04852159321308136,0.0979762151837349,-1.4351685420270637,0.4703484018693926,0.3970588235294118,0.12155344700289497,0.4104651212692261,0.03946244344115257,0.022234924137592316,0.06544990837574005,1.5174738258627798,high_activation_associated_with_success,0.4703484018693926,0.12155344700289497,1.5174738258627798,1.0,True,136,1.0,136,3.3722188472747803,3.421035051345825,5.762457370758057,2.132981061935425,2.7494211196899414,3.948744297027588,4.773458957672119,3.4918439388275146,3.479483127593994,5.335504531860352,3.2934412956237793,3.3842358589172363,5.762457370758057
1,0.60530451012714,0.6029411764705882,0.005952099579463883,0.6180683374404907,0.041116196662187576,0.03809800371527672,0.10355190187692642,-0.31043277383759604,0.41972360829066263,0.3970588235294118,0.037590374725977,0.41470813751220703,0.04204249009490013,0.02927188202738762,0.06972900032997131,0.11929746101657328,high_activation_associated_with_success,0.41972360829066263,0.037590374725977,0.11929746101657328,1.0,True,136,1.0,136,3.994988441467285,3.928459644317627,6.837165832519531,2.2921266555786133,3.4032881259918213,4.64853572845459,5.826232433319092,4.068264484405518,3.933882474899292,5.991124629974365,3.94673228263855,3.928459644317627,6.837165832519531
2,0.6339163050366646,0.6029411764705882,0.07801143490715544,0.618878185749054,0.038879621773958206,0.04013789817690849,0.09791908413171768,0.38678401729432693,0.39340754809623446,0.3970588235294118,-0.006055773889172169,0.4141005575656891,0.04143960028886795,0.028264345601201057,0.06872911006212234,-0.4993534684117431,high_activation_associated_with_failure,0.6339163050366646,0.07801143490715544,0.38678401729432693,1.0,True,136,1.0,136,3.394545316696167,3.4238996505737305,6.045016288757324,1.7950389385223389,2.718146800994873,4.018182754516602,4.940061569213867,3.379364490509033,3.310539722442627,5.750715255737305,3.4045424461364746,3.4875893592834473,6.045016288757324
3,0.6016857962697274,0.6029411764705882,-0.0031616982836494235,0.6071650385856628,0.004626053385436535,0.010639195330440998,0.01165079791098833,-1.184544931559945,0.4082244008714597,0.3970588235294118,0.018518518518518514,0.4035363793373108,0.007657249923795462,0.010743016377091408,0.01269984245300293,0.6122518582573878,high_activation_associated_with_success,0.4082244008714597,0.018518518518518514,0.6122518582573878,1.0,False,2,0.014705882352941176,3,0.03275684639811516,0.0,2.637631416320801,0.0,0.0,0.0,0.0,0.04884502664208412,0.0,2.637631416320801,0.022162189707159996,0.0,1.8172996044158936
4,,0.6029411764705882,,,,,,,,0.3970588235294118,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.6082430846291892,0.6029411764705882,0.013352953880921005,0.6216936707496643,0.03895832598209381,0.04722854495048523,0.09811727702617645,-0.34525612711945364,0.4234294264517565,0.3970588235294118,0.04373660972486442,0.4112089276313782,0.04034906625747681,0.023468228057026863,0.06692039966583252,0.3028729919284383,high_activation_associated_with_success,0.4234294264517565,0.04373660972486442,0.3028729919284383,1.0,True,136,1.0,136,3.500779151916504,3.4641318321228027,6.302560806274414,2.171853542327881,2.819998025894165,4.167089462280273,4.72975492477417,3.543794631958008,3.5108964443206787,6.302560806274414,3.4724531173706055,3.460880994796753,5.633567810058594
6,0.6234993901370787,0.6029411764705882,0.051776241826716723,0.6190131902694702,0.040951479226350784,0.04047781601548195,0.1031370684504509,0.10954767263588419,0.4030847731186973,0.3970588235294118,0.009994257855400316,0.4142419397830963,0.04353036731481552,0.02849910408258438,0.07219670712947845,-0.2563114989994938,high_activation_associated_with_failure,0.6234993901370787,0.051776241826716723,0.10954767263588419,1.0,True,136,1.0,136,3.6513845920562744,3.6228418350219727,5.647436141967773,2.487943172454834,3.0739200115203857,4.14015007019043,4.975216865539551,3.6382830142974854,3.5888519287109375,5.611338138580322,3.6600141525268555,3.7614030838012695,5.647436141967773
7,0.6151674637737164,0.6029411764705882,0.030792130985656325,0.6198694109916687,0.03936394304037094,0.042633749544620514,0.09913882613182068,-0.11944481310701513,0.41272030891316874,0.3970588235294118,0.025975146490133473,0.41248294711112976,0.040549855679273605,0.025581566616892815,0.06725343316793442,0.0058521900622957685,high_activation_associated_with_success,0.41272030891316874,0.025975146490133473,0.0058521900622957685,1.0,True,136,1.0,136,4.6668877601623535,4.653709411621094,7.202641487121582,3.2583930492401123,3.9423446655273438,5.23695182800293,6.240542411804199,4.660168170928955,4.646385669708252,6.663394451141357,4.6713151931762695,4.662095069885254,7.202641487121582
8,,0.6029411764705882,,,,,,,,0.3970588235294118,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,0.6029411764705882,,,,,,,,0.3970588235294118,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.6282837071087035,0.6029411764705882,0.06382563271821634,0.6160673499107361,0.039965592324733734,0.03305910900235176,0.10065409541130066,0.30566589059435684,0.3998603979066261,0.3970588235294118,0.004646513601233455,0.41734063625335693,0.04366948455572128,0.0336381271481514,0.07242745906114578,-0.4002848356511059,high_activation_associated_with_failure,0.6282837071087035,0.06382563271821634,0.30566589059435684,1.0,True,136,1.0,136,3.9716289043426514,3.81752872467041,7.7966718673706055,2.2826380729675293,3.321706533432007,4.651917934417725,5.6457929611206055,3.924607992172241,3.7804434299468994,7.7966718673706055,4.002594470977783,3.8720016479492188,7.406505584716797
