feature_id,failure_pr_auc,failure_baseline,failure_normalized_effect,failure_null_mean,failure_null_sd,failure_effect_null_mean,failure_effect_null_sd,failure_effect_to_variability,success_pr_auc,success_baseline,success_normalized_effect,success_null_mean,success_null_sd,success_effect_null_mean,success_effect_null_sd,success_effect_to_variability,selected_direction,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum
0,0.21745754984272703,0.23636363636363636,-0.024757970444047935,0.2644187808036804,0.045572515577077866,0.03673892840743065,0.059678301215171814,-1.0304733479217139,0.8160161746085575,0.7636363636363637,0.2216068925746661,0.774759829044342,0.038731154054403305,0.04706195369362831,0.16386261582374573,1.065190727022094,high_activation_associated_with_success,0.8160161746085575,0.2216068925746661,1.065190727022094,1.0,True,110,1.0,110,3.693495512008667,3.837470531463623,5.997171878814697,2.443641185760498,3.2234816551208496,4.045533180236816,5.022680759429932,3.7190017700195312,3.837470531463623,5.997171878814697,3.6110894680023193,3.8142752647399902,4.794907569885254
1,0.2630763777206849,0.23636363636363636,0.03498097082470639,0.2658178508281708,0.04552025347948074,0.038571156561374664,0.05960986763238907,-0.06022804410183839,0.7664111139781665,0.7636363636363637,0.011739328369165932,0.7726249694824219,0.036223769187927246,0.0380292572081089,0.153254434466362,-0.17154432712166234,neutral_or_degenerate,0.2630763777206849,0.03498097082470639,-0.06022804410183839,1.0,True,110,1.0,110,4.275099277496338,4.1991496086120605,6.188962459564209,3.154151678085327,3.7405972480773926,4.706389904022217,5.61416482925415,4.2831597328186035,4.170742034912109,6.188962459564209,4.249059200286865,4.36183500289917,6.067119598388672
2,0.44323300420791,0.23636363636363636,0.2709003626532155,0.26639261841773987,0.04983941838145256,0.03932374343276024,0.06526590138673782,3.5482022664213466,0.6764144888428927,0.7636363636363637,-0.36901562412622346,0.7737480401992798,0.03916287422180176,0.04278076812624931,0.16568905115127563,-2.485356693101579,high_activation_associated_with_failure,0.44323300420791,0.2709003626532155,3.5482022664213466,1.0,True,110,1.0,110,3.7419259548187256,3.7450642585754395,6.045011520385742,2.4467074871063232,3.110685110092163,4.197999000549316,5.264622688293457,3.627103090286255,3.6707675457000732,5.525590419769287,4.112889289855957,4.028886795043945,6.045011520385742
3,0.26573426573426573,0.23636363636363636,0.03846153846153846,0.24544039368629456,0.013405601494014263,0.011886444874107838,0.01755497232079506,1.5138214462435018,0.7604978354978356,0.7636363636363637,-0.013278388278388148,0.766834557056427,0.0034188285935670137,0.013534758239984512,0.01446426473557949,-1.8537510899131389,high_activation_associated_with_failure,0.26573426573426573,0.03846153846153846,1.5138214462435018,1.0,False,2,0.01818181818181818,3,0.029412100091576576,0.0,1.8172972202301025,0.0,0.0,0.0,0.0,0.01688135415315628,0.0,1.4180337190628052,0.06989604979753494,0.0,1.8172972202301025
4,,0.23636363636363636,,,,,,,,0.7636363636363637,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.33614313256639217,0.23636363636363636,0.13066362597979927,0.2635589838027954,0.0469108447432518,0.03561292961239815,0.06143086403608322,1.547279170801998,0.7177088236444658,0.7636363636363637,-0.19430882304264505,0.7747633457183838,0.037146005779504776,0.047074612230062485,0.15715613961219788,-1.5359465806958028,high_activation_associated_with_failure,0.33614313256639217,0.13066362597979927,1.547279170801998,1.0,True,110,1.0,110,3.705831289291382,3.644752025604248,6.302560806274414,2.424846649169922,3.2197673320770264,4.228616237640381,5.123771667480469,3.648662805557251,3.5987534523010254,6.302560806274414,3.8905346393585205,3.693511486053467,5.421392440795898
6,0.2621031948445592,0.23636363636363636,0.03370656467739894,0.26731300354003906,0.05075453594326973,0.04052887484431267,0.06646427512168884,-0.10264627357212314,0.7641217906236745,0.7636363636363637,0.0020537295616995374,0.7728065252304077,0.04048508405685425,0.038797274231910706,0.17128302156925201,-0.21451947971010812,neutral_or_degenerate,0.2621031948445592,0.03370656467739894,-0.10264627357212314,1.0,True,110,1.0,110,3.941610813140869,3.8906564712524414,5.921746730804443,2.9227004051208496,3.3410747051239014,4.394333839416504,5.322442531585693,3.913787841796875,3.826639175415039,5.921746730804443,4.031498908996582,4.045577526092529,5.454944133758545
7,0.2169095272086649,0.23636363636363636,-0.02547561913151023,0.26720520853996277,0.047823987901210785,0.04038777947425842,0.06262664496898651,-1.0516833312463891,0.8436414693091033,0.7636363636363637,0.33848313938466784,0.7722744941711426,0.03713183477520943,0.03654615953564644,0.1570962369441986,1.921987348151891,high_activation_associated_with_success,0.8436414693091033,0.33848313938466784,1.921987348151891,1.0,True,110,1.0,110,4.77517032623291,4.8092875480651855,7.143962383270264,3.299793243408203,4.260861396789551,5.3508405685424805,6.223459243774414,4.850298881530762,4.902637958526611,7.079443454742432,4.53244686126709,4.536311626434326,7.143962383270264
8,,0.23636363636363636,,,,,,,,0.7636363636363637,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,0.23636363636363636,,,,,,,,0.7636363636363637,,,,,,,neutral_or_degenerate,,,,,False,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
