case_id,rank,feature_id,failure_pr_auc,failure_baseline,failure_normalized_effect,failure_null_mean,failure_null_sd,failure_effect_null_mean,failure_effect_null_sd,failure_effect_to_variability,success_pr_auc,success_baseline,success_normalized_effect,success_null_mean,success_null_sd,success_effect_null_mean,success_effect_null_sd,success_effect_to_variability,selected_direction,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,1,6873,0.8463131399664235,0.6014492753623188,0.6143856966430263,0.6071253418922424,0.03768283873796463,0.014241584576666355,0.09454967826604843,6.347394545094544,0.27809889932154314,0.39855072463768115,-0.20026929992321743,0.425563246011734,0.04160021245479584,0.04491249471902847,0.0691666230559349,-3.544799266027024,high_activation_associated_with_failure,0.8463131399664235,0.6143856966430263,6.347394545094544,0.004975124378109453,True,138,1.0,138,4.467607021331787,4.311945915222168,7.562067031860352,2.6347944736480713,3.6580731868743896,5.210109710693359,6.732529640197754,3.8405086994171143,3.919882297515869,5.512516021728516,4.883153915405273,4.7650604248046875,7.562067031860352
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,2,3142,0.5413814228294613,0.6014492753623188,-0.15071570271880613,0.6151701211929321,0.02838478609919548,0.03442695364356041,0.0712200179696083,-2.599587330087061,0.6126021446039284,0.39855072463768115,0.3558927223535195,0.4136757552623749,0.03225573152303696,0.025148050859570503,0.05363001674413681,6.1671558499020644,high_activation_associated_with_success,0.6126021446039284,0.3558927223535195,6.1671558499020644,0.7412935323383084,True,43,0.3115942028985507,44,0.48149794340133667,0.0,4.82696533203125,0.0,0.0,0.29042938351631165,2.728252649307251,0.9415041208267212,0.1277279555797577,4.82696533203125,0.17667464911937714,0.0,3.571443557739258
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,3,14374,0.7214946743495723,0.6014492753623188,0.30120481927710857,0.6106595396995544,0.019546354189515114,0.02310936711728573,0.04904358088970184,5.670374126743613,0.39855072463768115,0.39855072463768115,0.0,0.4155413806438446,0.02462581731379032,0.02824966236948967,0.04094412177801132,-0.6899564856379677,high_activation_associated_with_failure,0.7214946743495723,0.30120481927710857,5.670374126743613,1.0,True,25,0.18115942028985507,26,0.8603041172027588,0.0,6.164736270904541,0.0,0.0,0.0,5.585673809051514,0.0,0.0,0.0,1.4303852319717407,0.0,6.164736270904541
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,4,13147,0.8197485041706859,0.6014492753623188,0.5477326104646301,0.6104652881622314,0.03850903734564781,0.02262231521308422,0.09662268310785294,5.4346482457478755,0.28647961610188677,0.39855072463768115,-0.18633509611975452,0.4228094220161438,0.041391242295503616,0.0403335802257061,0.06881917268037796,-3.293684993834421,high_activation_associated_with_failure,0.8197485041706859,0.5477326104646301,5.4346482457478755,0.014925373134328358,True,138,1.0,138,4.242852210998535,3.8814263343811035,9.943697929382324,2.292454719543457,3.2490925788879395,4.95543098449707,8.1011323928833,3.4883782863616943,3.5582337379455566,5.880246162414551,4.742806911468506,4.3875813484191895,9.943697929382324
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,5,15907,0.8276083636973239,0.6014492753623188,0.5674537125496492,0.6081114411354065,0.04113268107175827,0.016716405749320984,0.10320566594600677,5.336308832970979,0.2859193032133788,0.39855072463768115,-0.18726670068137022,0.4254331886768341,0.04626796394586563,0.04469592496752739,0.07692748308181763,-3.0153414144875836,high_activation_associated_with_failure,0.8276083636973239,0.5674537125496492,5.336308832970979,0.004975124378109453,True,138,1.0,138,7.655681133270264,4.882741928100586,25.55833625793457,2.8160812854766846,3.975554943084717,6.64522123336792,22.46877670288086,4.546815395355225,4.382495403289795,9.053998947143555,9.715773582458496,5.571985244750977,25.55833625793457
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,1,11052,0.6480933235568209,0.36936936936936937,0.44197655592581603,0.3963828384876251,0.04235832765698433,0.042835578322410583,0.06716819107532501,5.942410703837376,0.4939176931832645,0.6306306306306306,-0.3701252696745766,0.6411569118499756,0.03886564075946808,0.028498051688075066,0.10522163659334183,-3.788415902550936,high_activation_associated_with_failure,0.6480933235568209,0.44197655592581603,5.942410703837376,0.7014925373134329,True,111,1.0,111,3.5590250492095947,3.525073289871216,5.593557834625244,2.4234471321105957,3.1176061630249023,3.963974952697754,4.971992015838623,3.3236074447631836,3.390824794769287,4.934011459350586,3.960958242416382,3.8564419746398926,5.593557834625244
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,2,2629,0.6326782537094644,0.36936936936936937,0.41753265945357926,0.39126870036125183,0.04439109191298485,0.03472615405917168,0.07039158791303635,5.438242221035516,0.5068116508022278,0.6306306306306306,-0.3352172380720175,0.6462804675102234,0.04062811657786369,0.04236965253949165,0.10999318212270737,-3.4328208651175918,high_activation_associated_with_failure,0.6326782537094644,0.41753265945357926,5.438242221035516,0.8606965174129353,True,111,1.0,111,3.872570753097534,3.8761584758758545,5.405736923217773,2.698859214782715,3.4167702198028564,4.386480808258057,4.878550052642822,3.695812225341797,3.7795181274414062,4.881684303283691,4.174355506896973,4.244121074676514,5.405736923217773
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,3,5696,0.6391215008460007,0.36936936936936937,0.42774980848437255,0.3937265872955322,0.04578664153814316,0.03862348943948746,0.07260452955961227,5.3595322689253315,0.503382235143589,0.6306306306306306,-0.34450175363564917,0.6448700428009033,0.041896626353263855,0.03855044022202492,0.11342742294073105,-3.3770686481859804,high_activation_associated_with_failure,0.6391215008460007,0.42774980848437255,5.3595322689253315,0.7910447761194029,True,111,1.0,111,3.1032397747039795,3.037044048309326,5.571750164031982,1.9797625541687012,2.633125066757202,3.5379185676574707,4.2500691413879395,2.900132179260254,2.913301944732666,4.269228935241699,3.4500081539154053,3.4560272693634033,5.571750164031982
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,4,5089,0.6168934906155965,0.36936936936936937,0.39250253511901734,0.3971711993217468,0.0420856811106205,0.04408569633960724,0.06673586368560791,5.220833589879033,0.5105403700673063,0.6306306306306306,-0.3251224127446096,0.640881359577179,0.03879712522029877,0.027751803398132324,0.10503610968589783,-3.359551464710416,high_activation_associated_with_failure,0.6168934906155965,0.39250253511901734,5.220833589879033,0.9900497512437811,True,111,1.0,111,4.591999053955078,4.585593223571777,7.555493354797363,2.5967535972595215,4.009120941162109,5.306960582733154,6.144595623016357,4.313910484313965,4.3881120681762695,6.184529781341553,5.066782474517822,5.027212142944336,7.555493354797363
deepseek_base_finetuned_layer16__b_deepseek_finetuned__humanevalplus__layer16__evaluated_tokens,5,8291,0.6091569843887247,0.36936936936936937,0.3802346466735491,0.39441239833831787,0.0430116206407547,0.03971090167760849,0.06820414960384369,4.992713009015366,0.515594672306471,0.6306306306306306,-0.311438813999554,0.6436164975166321,0.038541629910469055,0.035156797617673874,0.1043444275856018,-3.321649460704441,high_activation_associated_with_failure,0.6091569843887247,0.3802346466735491,4.992713009015366,1.0,True,111,1.0,111,3.8828012943267822,3.8728907108306885,6.152396202087402,2.6990020275115967,3.3788740634918213,4.427053928375244,4.897596836090088,3.7155094146728516,3.7433271408081055,5.0824737548828125,4.168420791625977,4.268923759460449,6.152396202087402
