feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
0,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
1,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
2,0.6923076923076923,0.1923076923076923,0.1923076923076923,0.5058741258741258,0.11001366952351257,1.0,24,1.0,24,2.547952890396118,2.4930386543273926,3.6851439476013184,1.8175896406173706,2.2626092433929443,2.852651357650757,3.388213872909546,2.3704850673675537,2.405494213104248,3.042750120162964,2.757687568664551,2.563868284225464,3.6851439476013184,False,False,high_activation_associated_with_failure
3,0.48951048951048953,-0.010489510489510467,0.010489510489510467,0.4900349650349651,0.11818168887318621,1.0,24,1.0,24,2.3661253452301025,2.351363182067871,3.7241368293762207,1.4242702722549438,2.0877113342285156,2.7724316120147705,3.18011212348938,2.40787410736084,2.2641048431396484,3.7241368293762207,2.3167848587036133,2.3793928623199463,3.1894125938415527,False,False,high_activation_associated_with_success
4,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
5,0.5314685314685315,0.03146853146853146,0.03146853146853146,0.4834965034965033,0.1117154261808563,1.0,24,1.0,24,2.004135847091675,2.0724399089813232,2.9123215675354004,1.2765790224075317,1.8238816261291504,2.1875810623168945,2.4543628692626953,1.9595273733139038,2.040444850921631,2.4558346271514893,2.056854486465454,2.0815534591674805,2.9123215675354004,False,False,high_activation_associated_with_failure
6,0.5104895104895105,0.010489510489510523,0.010489510489510523,0.4954195804195801,0.11405913288258283,1.0,24,1.0,24,3.101097822189331,3.20807147026062,4.6280198097229,2.003530740737915,2.6884756088256836,3.457125425338745,4.454720973968506,3.1681735515594482,3.196716547012329,4.6280198097229,3.021826982498169,3.2966370582580566,3.892548084259033,False,False,high_activation_associated_with_failure
7,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
8,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
9,0.34965034965034963,-0.15034965034965037,0.15034965034965037,0.49786713286713313,0.11576056046759992,1.0,24,1.0,24,2.8076393604278564,2.796917676925659,4.031792640686035,1.7618777751922607,2.340083122253418,3.3400022983551025,3.792724609375,2.920443296432495,2.9455759525299072,4.031792640686035,2.674325466156006,2.4930520057678223,3.6798579692840576,False,False,high_activation_associated_with_success
10,0.4195804195804196,-0.08041958041958042,0.08041958041958042,0.510034965034965,0.11515569047194718,1.0,24,1.0,24,2.360262155532837,2.2532081604003906,3.816007375717163,1.6725248098373413,2.0140037536621094,2.5514988899230957,3.414994716644287,2.4427905082702637,2.2703921794891357,3.816007375717163,2.262728691101074,2.213818311691284,3.444187879562378,False,False,high_activation_associated_with_success
11,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
12,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
13,0.6083916083916084,0.10839160839160844,0.10839160839160844,0.5066783216783215,0.1168999824533744,1.0,24,1.0,24,3.13173770904541,3.112006902694702,4.334315776824951,2.6596076488494873,2.992257833480835,3.267958641052246,3.7977590560913086,3.104213237762451,3.0552797317504883,4.334315776824951,3.164266347885132,3.138704538345337,3.819948673248291,False,False,high_activation_associated_with_failure
14,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
15,0.5174825174825175,0.0174825174825175,0.0174825174825175,0.4962587412587412,0.1318184183188701,1.0,24,1.0,24,2.866570234298706,2.7347288131713867,4.190671920776367,2.2043192386627197,2.5066421031951904,3.177935838699341,4.043278217315674,2.827406883239746,2.718677520751953,4.190671920776367,2.9128546714782715,2.7714107036590576,4.119833469390869,False,False,high_activation_associated_with_failure
16,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
17,0.43356643356643354,-0.06643356643356646,0.06643356643356646,0.5004545454545454,0.11453934403982137,1.0,24,1.0,24,2.694934129714966,2.5491113662719727,3.720806360244751,1.9301472902297974,2.343550443649292,3.0592851638793945,3.5935027599334717,2.7619104385375977,2.576378583908081,3.720806360244751,2.615781307220459,2.5180790424346924,3.4798099994659424,False,False,high_activation_associated_with_success
