feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
0,0.50054704595186,0.000547045951859948,0.000547045951859948,0.5003466137886048,0.0070836179800163315,1.0,1,0.001091703056768559,2,0.000168355560163036,0.0,0.15421369671821594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016872395644895732,0.0,0.15421369671821594,False,False,high_activation_associated_with_failure
1,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
2,0.2210065645514223,-0.2789934354485777,0.2789934354485777,0.5013608315560035,0.20133014188659962,1.0,916,1.0,916,2.7940309047698975,2.751460552215576,4.559001445770264,2.0979409217834473,2.481560707092285,3.0559654235839844,3.6997904777526855,3.1209752559661865,3.1209752559661865,3.1886818408966064,2.7933151721954346,2.750434160232544,4.559001445770264,True,False,high_activation_associated_with_success
3,0.40426695842450766,-0.09573304157549234,0.09573304157549234,0.5018273524922784,0.20726696444774093,1.0,916,1.0,916,3.3101587295532227,3.295940637588501,4.9592132568359375,2.3955907821655273,2.9680371284484863,3.6634323596954346,4.20253849029541,3.4432053565979004,3.4432053565979004,3.5039544105529785,3.3098676204681396,3.295602798461914,4.9592132568359375,True,False,high_activation_associated_with_success
4,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
5,0.07603938730853392,-0.42396061269146607,0.42396061269146607,0.49708085323218254,0.2024375085694195,1.0,916,1.0,916,2.037846565246582,2.0290961265563965,3.4778671264648438,1.456999659538269,1.7886909246444702,2.2725820541381836,2.666172504425049,2.5658974647521973,2.5658974647521973,2.612192153930664,2.036691188812256,2.0286285877227783,3.4778671264648438,True,False,high_activation_associated_with_success
6,0.4814004376367615,-0.01859956236323851,0.01859956236323851,0.498799343390204,0.20838558719709543,1.0,916,1.0,916,3.392659902572632,3.3570895195007324,6.563185214996338,2.4673380851745605,2.9856743812561035,3.741550922393799,4.440401077270508,3.4755001068115234,3.4755001068115234,4.2217888832092285,3.3924787044525146,3.3570895195007324,6.563185214996338,True,False,high_activation_associated_with_success
7,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
8,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
9,0.2089715536105033,-0.2910284463894967,0.2910284463894967,0.5006022976675304,0.20225509405079478,1.0,916,1.0,916,2.907717704772949,2.8590292930603027,4.306797027587891,2.148196220397949,2.5791592597961426,3.228867292404175,3.7385337352752686,3.4876480102539062,3.4876480102539062,3.9761838912963867,2.9064483642578125,2.8577892780303955,4.306797027587891,True,False,high_activation_associated_with_success
10,0.29923413566739604,-0.20076586433260396,0.20076586433260396,0.4985730855891481,0.2032287157923741,1.0,916,1.0,916,2.359501361846924,2.3282103538513184,4.0410051345825195,1.7637178897857666,2.0863616466522217,2.6092379093170166,3.0956509113311768,2.592045307159424,2.592045307159424,2.8302183151245117,2.358992576599121,2.3281185626983643,4.0410051345825195,True,False,high_activation_associated_with_success
11,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
12,0.50054704595186,0.000547045951859948,0.000547045951859948,0.4997453008651733,0.014150342677840063,1.0,1,0.001091703056768559,2,3.230848233215511e-05,0.0,0.02959457039833069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.237917917431332e-05,0.0,0.02959457039833069,False,False,high_activation_associated_with_failure
13,0.08807439824945296,-0.41192560175054704,0.41192560175054704,0.4972589717069641,0.20591393847020847,1.0,916,1.0,916,3.044320583343506,3.010519027709961,5.168995380401611,2.2304084300994873,2.6794238090515137,3.3580923080444336,3.9696385860443115,3.7747907638549805,3.7747907638549805,3.9178719520568848,3.042722225189209,3.0092287063598633,5.168995380401611,True,False,high_activation_associated_with_success
14,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
15,0.4458424507658643,-0.05415754923413568,0.05415754923413568,0.5066624728029594,0.20676804882883154,1.0,916,1.0,916,3.064649820327759,3.0345864295959473,5.422906398773193,2.192413806915283,2.703397512435913,3.4029574394226074,4.04130220413208,3.123757839202881,3.123757839202881,3.318073272705078,3.0645203590393066,3.0345864295959473,5.422906398773193,True,False,high_activation_associated_with_success
16,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
17,0.41083150984682715,-0.08916849015317285,0.08916849015317285,0.5025425600785762,0.20596347623967248,1.0,916,1.0,916,3.212742805480957,3.2001214027404785,5.055088996887207,2.3959810733795166,2.8662006855010986,3.5298171043395996,4.088430404663086,3.329835891723633,3.329835891723633,3.5701653957366943,3.212486743927002,3.2001214027404785,5.055088996887207,True,False,high_activation_associated_with_success
18,0.06072210065645514,-0.4392778993435449,0.4392778993435449,0.5017001096994617,0.20642844567978522,1.0,916,1.0,916,2.4669203758239746,2.4564218521118164,3.7403597831726074,1.8234374523162842,2.203296184539795,2.723706007003784,3.1106622219085693,3.07718825340271,3.07718825340271,3.119983673095703,2.4655847549438477,2.4558286666870117,3.7403597831726074,True,False,high_activation_associated_with_success
19,0.42778993435448576,-0.07221006564551424,0.07221006564551424,0.496434026383236,0.20669409868572122,1.0,916,1.0,916,3.1236321926116943,3.1173009872436523,4.69180154800415,2.418663263320923,2.8158583641052246,3.4203360080718994,3.8937366008758545,3.2000961303710938,3.2000961303710938,3.359394073486328,3.123464822769165,3.1173009872436523,4.69180154800415,True,False,high_activation_associated_with_success
20,0.18326039387308535,-0.31673960612691465,0.31673960612691465,0.4973902628016658,0.20578097718018026,1.0,916,1.0,916,2.448000907897949,2.424680709838867,4.248977184295654,1.7969549894332886,2.1462554931640625,2.7064568996429443,3.2577924728393555,2.885606288909912,2.885606288909912,3.1157591342926025,2.4470434188842773,2.4239392280578613,4.248977184295654,True,False,high_activation_associated_with_success
21,0.0525164113785558,-0.4474835886214442,0.4474835886214442,0.5041066192951054,0.20398058051164308,1.0,916,1.0,914,2.334080696105957,2.3081483840942383,3.7707910537719727,1.702065348625183,2.0734779834747314,2.587731122970581,3.0590624809265137,3.1421780586242676,3.1421780586242676,3.4363884925842285,2.3323123455047607,2.306715250015259,3.7707910537719727,True,False,high_activation_associated_with_success
22,0.3528446389496718,-0.14715536105032823,0.14715536105032823,0.5033226478410885,0.20524076983273118,1.0,916,1.0,916,2.9537408351898193,2.9628968238830566,4.66767692565918,2.214031934738159,2.657726287841797,3.262396812438965,3.7099695205688477,3.1288812160491943,3.1288812160491943,3.1471776962280273,2.953357696533203,2.9618051052093506,4.66767692565918,True,False,high_activation_associated_with_success
23,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
24,0.23030634573304157,-0.26969365426695846,0.26969365426695846,0.49504168513054025,0.20528807986345332,1.0,916,1.0,916,1.6523357629776,1.6573083400726318,2.7954652309417725,1.1657850742340088,1.452654242515564,1.8398683071136475,2.1380820274353027,2.091921329498291,2.091921329498291,2.493382215499878,1.6513738632202148,1.65603506565094,2.7954652309417725,True,False,high_activation_associated_with_success
25,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
26,0.3134573304157549,-0.1865426695842451,0.1865426695842451,0.5021374179748819,0.2042713685044917,1.0,916,1.0,916,2.953307628631592,2.927889585494995,4.541059494018555,2.145982027053833,2.636752128601074,3.2820096015930176,3.8721985816955566,3.2618279457092285,3.2618279457092285,3.6587882041931152,2.9526326656341553,2.927889585494995,4.541059494018555,True,False,high_activation_associated_with_success
