feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
0,0.5602799958697597,0.06027999586975974,0.06027999586975974,0.5002435701429844,0.01962884342001898,0.9774045190961808,1088,1.0,1087,2.318544387817383,2.3210883140563965,3.840649366378784,1.777438759803772,2.092763662338257,2.540489912033081,2.891970634460449,2.267713785171509,2.264364242553711,3.095623016357422,2.3371920585632324,2.334683895111084,3.840649366378784,False,True,high_activation_associated_with_failure
1,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
2,0.588404350519722,0.08840435051972195,0.08840435051972195,0.5005454875767231,0.019916602954817814,0.03999200159968006,1088,1.0,1088,2.3747787475585938,2.372849464416504,3.8962762355804443,1.743470311164856,2.08363676071167,2.6458208560943604,3.0325310230255127,2.290808916091919,2.2319860458374023,3.8962762355804443,2.405583620071411,2.4083361625671387,3.8098185062408447,False,True,high_activation_associated_with_failure
3,0.5773000275349349,0.07730002753493492,0.07730002753493492,0.5004734143972397,0.01969108506570138,0.26454709058188364,1088,1.0,1088,2.4004197120666504,2.379633903503418,3.915883779525757,1.758334755897522,2.096853017807007,2.653045177459717,3.1498446464538574,2.316434621810913,2.303892135620117,3.6155247688293457,2.431226968765259,2.4123358726501465,3.915883779525757,False,True,high_activation_associated_with_failure
4,0.5740646726784608,0.07406467267846084,0.07406467267846084,0.5001738941311836,0.02014748511507046,0.39172165566886624,1088,1.0,1088,1.9187612533569336,1.7188501358032227,7.545588970184326,1.2523843050003052,1.530165195465088,1.9210708141326904,3.121302366256714,1.8701121807098389,1.6365145444869995,7.545588970184326,1.9366099834442139,1.7489805221557617,7.4200263023376465,False,True,high_activation_associated_with_failure
5,0.5600562745233014,0.06005627452330142,0.06005627452330142,0.500159784579277,0.019836077234052823,0.98000399920016,1088,1.0,1088,2.1928508281707764,2.203606128692627,3.2938835620880127,1.627305030822754,1.9669713973999023,2.414815664291382,2.777677536010742,2.1527044773101807,2.1520562171936035,3.256537675857544,2.207575559616089,2.2156691551208496,3.2938835620880127,False,True,high_activation_associated_with_failure
6,0.5324503510704206,0.0324503510704206,0.0324503510704206,0.5003822128474712,0.019627935543124253,1.0,1088,1.0,1087,3.1630237102508545,3.0560598373413086,6.033531665802002,2.065068483352661,2.5747456550598145,3.6728525161743164,4.546239852905273,3.0883026123046875,3.021636486053467,5.994384765625,3.190433979034424,3.070868968963623,6.033531665802002,False,True,high_activation_associated_with_failure
7,0.5604649962139464,0.06046499621394641,0.06046499621394641,0.5003190551042557,0.019722042576386736,0.9752049590081984,1088,1.0,1088,2.229006052017212,2.1886630058288574,3.88122296333313,1.5646710395812988,1.932775855064392,2.507347822189331,2.995657444000244,2.170912981033325,2.1060595512390137,3.41841459274292,2.2503161430358887,2.215385913848877,3.88122296333313,False,True,high_activation_associated_with_failure
8,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
9,0.5032568665244028,0.003256866524402824,0.003256866524402824,0.49922650297284127,0.01956603223257145,1.0,1088,1.0,1088,2.617457628250122,2.5315065383911133,4.6834282875061035,1.7397373914718628,2.1826870441436768,3.020939826965332,3.6858019828796387,2.639004945755005,2.510770320892334,4.6834282875061035,2.6095526218414307,2.545767068862915,4.373078346252441,False,True,high_activation_associated_with_failure
10,0.5184053830797825,0.018405383079782456,0.018405383079782456,0.5003928786993027,0.019790477846795065,1.0,1088,1.0,1088,2.1592071056365967,2.1443581581115723,4.230546474456787,1.5499457120895386,1.9127813577651978,2.388918876647949,2.8037209510803223,2.1509175300598145,2.1014671325683594,3.910651445388794,2.1622493267059326,2.1475205421447754,4.230546474456787,False,True,high_activation_associated_with_failure
11,0.5006281407035176,0.0006281407035175768,0.0006281407035175768,0.5000004088163376,0.0010348091895837099,1.0,1,0.0009191176470588235,2,8.406204869970679e-05,0.0,0.09145950525999069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011489887401694432,0.0,0.09145950525999069,False,True,high_activation_associated_with_failure
12,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
13,0.580961313416397,0.08096131341639701,0.08096131341639701,0.49993623242974283,0.019863556984690042,0.15696860627874426,1088,1.0,1088,2.657529830932617,2.6443073749542236,4.42487907409668,2.064816474914551,2.4325246810913086,2.84635853767395,3.3289122581481934,2.577695369720459,2.5878326892852783,4.0796709060668945,2.686814308166504,2.662348985671997,4.42487907409668,False,True,high_activation_associated_with_failure
14,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
15,0.5006281407035176,0.0006281407035175768,0.0006281407035175768,0.5000228770017624,0.0010226656944010732,1.0,1,0.0009191176470588235,2,8.088917093118653e-05,0.0,0.08800742030143738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011056208313675597,0.0,0.08800742030143738,False,True,high_activation_associated_with_failure
16,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
17,0.5776872375576513,0.07768723755765128,0.07768723755765128,0.5000112670660019,0.019703579679119097,0.2481503699260148,1088,1.0,1088,2.497892379760742,2.4734182357788086,4.161966323852539,1.8646466732025146,2.2705507278442383,2.729292869567871,3.117894172668457,2.4241373538970947,2.412621021270752,3.5211100578308105,2.524949073791504,2.5053257942199707,4.161966323852539,False,True,high_activation_associated_with_failure
18,0.5729417636125834,0.07294176361258342,0.07294176361258342,0.5006148729145526,0.01971127340178013,0.44991001799640074,1088,1.0,1088,2.182063341140747,2.1618094444274902,3.6030218601226807,1.6542882919311523,1.945831298828125,2.4177064895629883,2.727341890335083,2.1229004859924316,2.1047189235687256,3.6030218601226807,2.2037665843963623,2.190800666809082,3.3591575622558594,False,True,high_activation_associated_with_failure
19,0.5334463412955187,0.03344634129551871,0.03344634129551871,0.5000028733074665,0.020208892847849644,1.0,1088,1.0,1088,2.4708354473114014,2.453199625015259,4.097231864929199,1.9249203205108643,2.2278690338134766,2.700909376144409,3.086048126220703,2.4421586990356445,2.4177629947662354,3.4673213958740234,2.4813551902770996,2.4683384895324707,4.097231864929199,False,True,high_activation_associated_with_failure
20,0.5359502994424176,0.035950299442417566,0.035950299442417566,0.5000341664493084,0.019650841090318068,1.0,1088,1.0,1088,1.1625272035598755,1.1007745265960693,2.3406929969787598,0.6561479568481445,0.843189537525177,1.4469208717346191,1.8707714080810547,1.1353588104248047,1.0362193584442139,2.2802553176879883,1.1724929809570312,1.1231811046600342,2.3406929969787598,False,True,high_activation_associated_with_failure
21,0.523989812074069,0.023989812074069028,0.023989812074069028,0.49987325665950777,0.019700670291947896,1.0,1088,1.0,1088,2.3063154220581055,2.3015079498291016,3.4170608520507812,1.7655820846557617,2.0764575004577637,2.516294002532959,2.8422093391418457,2.287691831588745,2.2765753269195557,3.210442543029785,2.3131496906280518,2.3089938163757324,3.4170608520507812,False,True,high_activation_associated_with_failure
22,0.547734391133751,0.047734391133751,0.047734391133751,0.5002983470976353,0.01974983307215885,1.0,1088,1.0,1088,2.6451597213745117,2.6592345237731934,4.04039192199707,1.8024756908416748,2.2803430557250977,3.013265609741211,3.490643262863159,2.5804524421691895,2.5892701148986816,3.6442606449127197,2.6688992977142334,2.676410436630249,4.04039192199707,False,True,high_activation_associated_with_failure
23,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
24,0.556694000826048,0.05669400082604803,0.05669400082604803,0.5000848899126052,0.01921440555873139,0.9984003199360127,1088,1.0,1087,2.497629404067993,2.5050830841064453,3.8130993843078613,1.8735049962997437,2.2574334144592285,2.740915298461914,3.114495277404785,2.4510183334350586,2.445202350616455,3.543282985687256,2.5147273540496826,2.527714967727661,3.8130993843078613,False,True,high_activation_associated_with_failure
25,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
26,0.5977318097335995,0.09773180973359952,0.09773180973359952,0.5001238660335541,0.019651963602948276,0.0061987602479504095,1088,1.0,1088,2.2707676887512207,2.2518601417541504,3.576314687728882,1.6567851305007935,2.0193891525268555,2.5360682010650635,2.88804030418396,2.1859796047210693,2.169692039489746,3.0731499195098877,2.3018693923950195,2.301253318786621,3.576314687728882,False,True,high_activation_associated_with_failure
27,0.6193811523370276,0.11938115233702762,0.11938115233702762,0.5001029641866684,0.019632447691733484,0.0001999600079984003,1088,1.0,1088,2.0488152503967285,2.0425169467926025,3.1543898582458496,1.567121148109436,1.865469217300415,2.2364232540130615,2.521785259246826,1.9662272930145264,1.9743307828903198,2.9485819339752197,2.0791120529174805,2.0842244625091553,3.1543898582458496,False,True,high_activation_associated_with_failure
28,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
29,0.4830961313416397,-0.0169038686583603,0.0169038686583603,0.5003539316117763,0.019641097134665175,1.0,1088,1.0,1088,3.084317445755005,2.8621554374694824,6.147054672241211,2.063720703125,2.4972243309020996,3.3881216049194336,5.228592872619629,3.1567938327789307,2.8781728744506836,6.147054672241211,3.057727813720703,2.8539655208587646,5.924526691436768,False,True,high_activation_associated_with_success
30,0.5006281407035176,0.0006281407035175768,0.0006281407035175768,0.49998636620044706,0.0010420810606082522,1.0,1,0.0009191176470588235,2,8.33667945698835e-06,0.0,0.00907030701637268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1394858120183926e-05,0.0,0.00907030701637268,False,True,high_activation_associated_with_failure
31,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
