feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
0,0.36666666666666664,-0.13333333333333336,0.13333333333333336,0.49550000000000016,0.15432088382712447,1.0,23,1.0,23,3.19305419921875,3.1775829792022705,4.720214366912842,2.1055572032928467,2.829925537109375,3.521697521209717,4.257164478302002,3.306654453277588,3.25106143951416,4.720214366912842,2.784092664718628,2.973705291748047,3.5353355407714844,False,False,high_activation_associated_with_success
1,0.6,0.09999999999999998,0.09999999999999998,0.48377777777777775,0.14309558231829594,1.0,23,1.0,23,5.993716239929199,4.179977893829346,26.8503475189209,2.721545696258545,3.6579880714416504,4.762208938598633,23.82552719116211,6.4233222007751465,4.0461015701293945,26.8503475189209,4.447129726409912,4.533873081207275,5.9492082595825195,False,False,high_activation_associated_with_failure
2,0.5111111111111111,0.011111111111111072,0.011111111111111072,0.46494444444444427,0.14398687140084143,1.0,23,1.0,23,2.962064266204834,2.9054553508758545,4.356710910797119,1.7760237455368042,2.2744460105895996,3.7046685218811035,4.289546489715576,2.94618558883667,2.7038588523864746,4.356710910797119,3.0192248821258545,3.5394203662872314,3.739197015762329,False,False,high_activation_associated_with_failure
3,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
4,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
5,0.4111111111111111,-0.0888888888888889,0.0888888888888889,0.4812777777777776,0.14971403811893047,1.0,23,1.0,23,3.622544288635254,3.3388423919677734,5.470191955566406,2.6038408279418945,3.045717239379883,4.178363800048828,5.359627723693848,3.6897549629211426,3.5782532691955566,5.470191955566406,3.380585193634033,3.1183011531829834,4.548126697540283,False,False,high_activation_associated_with_success
6,0.26666666666666666,-0.23333333333333334,0.23333333333333334,0.48883333333333345,0.14146716889986516,1.0,23,1.0,23,3.5900871753692627,3.334191083908081,6.409936428070068,2.156787395477295,2.957228183746338,3.9373550415039062,5.196796417236328,3.785158395767212,3.5353198051452637,6.409936428070068,2.8878307342529297,3.0668060779571533,3.826141119003296,False,False,high_activation_associated_with_success
7,0.3111111111111111,-0.18888888888888888,0.18888888888888888,0.5121111111111112,0.14749425600868382,1.0,23,1.0,23,4.174952030181885,4.109826564788818,6.220810413360596,3.3030333518981934,3.530824661254883,4.6710357666015625,5.380825042724609,4.268894672393799,4.2110981941223145,6.220810413360596,3.8367583751678467,3.561798334121704,4.869565010070801,False,False,high_activation_associated_with_success
8,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
9,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
10,0.6666666666666666,0.16666666666666663,0.16666666666666663,0.4941111111111109,0.14737166419433298,1.0,23,1.0,23,3.768510580062866,3.4661717414855957,6.057340145111084,2.5850698947906494,3.0318524837493896,4.145480632781982,5.76829195022583,3.656848430633545,3.4394593238830566,6.057340145111084,4.170494556427002,3.942101240158081,5.752469539642334,False,False,high_activation_associated_with_failure
11,0.3,-0.2,0.2,0.4812222222222223,0.15153286731446422,1.0,23,1.0,23,3.20310640335083,3.1600372791290283,4.7333984375,2.199594259262085,2.999448299407959,3.42732572555542,4.27011775970459,3.296860694885254,3.1689252853393555,4.7333984375,2.8655898571014404,2.960536003112793,3.218677282333374,False,False,high_activation_associated_with_success
12,0.2222222222222222,-0.2777777777777778,0.2777777777777778,0.4888888888888892,0.15459225540789062,1.0,23,1.0,23,3.134535312652588,3.2002315521240234,4.389537334442139,2.1572940349578857,2.5286290645599365,3.6187405586242676,3.909575939178467,3.290894031524658,3.3257040977478027,4.389537334442139,2.5716445446014404,2.300509452819824,3.7568821907043457,False,False,high_activation_associated_with_success
13,0.4111111111111111,-0.0888888888888889,0.0888888888888889,0.4946666666666666,0.15012324155280163,1.0,23,1.0,23,12.583950996398926,3.5604045391082764,144.933837890625,2.4368858337402344,2.7474241256713867,4.500589847564697,63.58374786376953,15.148540496826172,3.560753345489502,144.933837890625,3.3514251708984375,2.9646520614624023,4.73799467086792,False,False,high_activation_associated_with_success
14,0.5777777777777777,0.07777777777777772,0.07777777777777772,0.4838333333333333,0.14998682040864866,1.0,23,1.0,23,3.1533408164978027,3.1452386379241943,4.862227916717529,1.997237205505371,2.582493782043457,3.622023105621338,4.77055025100708,3.081387519836426,3.1504034996032715,4.823301792144775,3.4123733043670654,2.9327352046966553,4.862227916717529,False,False,high_activation_associated_with_failure
15,0.6,0.09999999999999998,0.09999999999999998,0.4927777777777776,0.14250297809320364,1.0,23,1.0,23,3.542649030685425,3.3994133472442627,5.058315753936768,2.4800734519958496,2.8552651405334473,4.226308822631836,4.842648983001709,3.4863576889038086,3.3973636627197266,4.852269649505615,3.7452969551086426,3.5085575580596924,5.058315753936768,False,False,high_activation_associated_with_failure
16,0.3888888888888889,-0.1111111111111111,0.1111111111111111,0.4880555555555553,0.13326358129198485,1.0,23,1.0,23,6.221791744232178,4.095515727996826,18.847028732299805,2.7914512157440186,3.5459861755371094,4.679539680480957,18.29658317565918,6.901224613189697,4.130477428436279,18.847028732299805,3.775834560394287,4.087353706359863,4.1309099197387695,False,False,high_activation_associated_with_success
17,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
18,0.5111111111111111,0.011111111111111072,0.011111111111111072,0.4958333333333335,0.1608059850093103,1.0,23,1.0,23,2.79914927482605,2.781095027923584,5.4918975830078125,1.744676947593689,2.4292850494384766,3.035159111022949,4.012660503387451,2.8031129837036133,2.7413930892944336,5.4918975830078125,2.784879684448242,2.8621206283569336,3.204688787460327,False,False,high_activation_associated_with_failure
