feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
0,0.46093023255813953,-0.03906976744186047,0.03906976744186047,0.5001154884159565,0.051461618981937796,1.0,136,1.0,136,3.363908290863037,3.3842358589172363,5.762457370758057,2.132981061935425,2.7494211196899414,3.926701545715332,4.795235633850098,3.443308115005493,3.4095637798309326,5.335504531860352,3.3177459239959717,3.3842358589172363,5.762457370758057,False,False,high_activation_associated_with_success
1,0.5025581395348837,0.0025581395348837077,0.0025581395348837077,0.5002214418172837,0.05187978663789843,1.0,136,1.0,136,3.989114761352539,3.928459644317627,6.837165832519531,2.2921266555786133,3.4032881259918213,4.636704444885254,5.685688018798828,4.0033650398254395,3.888397693634033,5.991124629974365,3.9808292388916016,4.04451847076416,6.837165832519531,False,False,high_activation_associated_with_failure
2,0.5667441860465117,0.06674418604651167,0.06674418604651167,0.5003190702080726,0.05163479704708467,1.0,136,1.0,136,3.3907246589660645,3.4238996505737305,6.045016288757324,1.7950389385223389,2.7290918827056885,3.9888248443603516,4.940061569213867,3.2895383834838867,3.237586498260498,5.185049057006836,3.449554204940796,3.5078554153442383,6.045016288757324,False,False,high_activation_associated_with_failure
3,0.49569767441860463,-0.004302325581395372,0.004302325581395372,0.4998433483183384,0.010701246977623343,1.0,2,0.014705882352941176,3,0.03275684639811516,0.0,2.637631416320801,0.0,0.0,0.0,0.0,0.05275262892246246,0.0,2.637631416320801,0.02113139070570469,0.0,1.8172996044158936,False,False,high_activation_associated_with_success
4,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
5,0.5441860465116279,0.04418604651162794,0.04418604651162794,0.5007176745891571,0.051316741717828275,1.0,136,1.0,136,3.512174606323242,3.4865541458129883,6.302560806274414,2.171853542327881,2.8385727405548096,4.184391498565674,4.696455478668213,3.479332208633423,3.341853380203247,6.302560806274414,3.531268835067749,3.548107862472534,5.633567810058594,False,False,high_activation_associated_with_failure
6,0.5437209302325582,0.043720930232558186,0.043720930232558186,0.5009790699005127,0.052476694169089344,1.0,136,1.0,136,3.6595730781555176,3.633317708969116,5.647436141967773,2.487943172454834,3.0739200115203857,4.146782398223877,4.984210968017578,3.5781214237213135,3.505708932876587,5.611338138580322,3.7069296836853027,3.787538528442383,5.647436141967773,False,False,high_activation_associated_with_failure
7,0.5246511627906977,0.024651162790697678,0.024651162790697678,0.5002489300310612,0.05226088618153725,1.0,136,1.0,136,4.655120849609375,4.653709411621094,7.202641487121582,3.2583930492401123,3.9423446655273438,5.151494026184082,6.240542411804199,4.597839832305908,4.599514961242676,6.663394451141357,4.688425064086914,4.705388069152832,7.202641487121582,False,False,high_activation_associated_with_failure
8,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
9,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
10,0.5704651162790698,0.07046511627906982,0.07046511627906982,0.5014732554852962,0.05090281788048557,1.0,136,1.0,136,3.981537342071533,3.81752872467041,7.7966718673706055,2.2826380729675293,3.321706533432007,4.676025390625,5.687078475952148,3.8347933292388916,3.7643067836761475,7.7966718673706055,4.066854000091553,4.027682781219482,7.406505584716797,False,False,high_activation_associated_with_failure
