feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
0,0.7272727272727273,0.2272727272727273,0.2272727272727273,0.5009090909090909,0.14296231370713045,1.0,19,1.0,19,3.8955094814300537,3.987978458404541,4.910427093505859,3.1024606227874756,3.346780300140381,4.326921463012695,4.889881610870361,3.699021100997925,3.6270666122436523,4.887598991394043,4.165680885314941,4.163667678833008,4.910427093505859,False,False,high_activation_associated_with_failure
1,0.375,-0.125,0.125,0.5123295454545456,0.13521188558369793,1.0,19,1.0,19,4.688750267028809,4.513678550720215,5.99360990524292,3.5553219318389893,4.205739974975586,5.331024169921875,5.973527908325195,4.831133842468262,4.85965633392334,5.971296310424805,4.4929728507995605,4.293764114379883,5.99360990524292,False,False,high_activation_associated_with_success
2,0.5,0.0,0.0,0.4939204545454548,0.13340965957366635,1.0,19,1.0,19,3.8953635692596436,3.935842990875244,5.4093732833862305,3.023310661315918,3.4603238105773926,4.206144332885742,4.742326259613037,3.8439736366271973,3.935842990875244,4.668209552764893,3.9660255908966064,3.8976213932037354,5.4093732833862305,False,False,neutral_or_degenerate
3,0.5625,0.0625,0.0625,0.5047443181818176,0.05384486601169181,1.0,1,0.05263157894736842,2,0.03567174822092056,0.0,0.6777632236480713,0.0,0.0,0.0,0.06777658313512802,0.0,0.0,0.0,0.08472040295600891,0.0,0.6777632236480713,False,False,high_activation_associated_with_failure
4,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
5,0.6136363636363636,0.11363636363636365,0.11363636363636365,0.5107954545454549,0.13836948044939054,1.0,19,1.0,19,4.548466205596924,4.239731311798096,6.643121719360352,3.4652974605560303,3.9179677963256836,5.256484031677246,5.735344409942627,4.491009712219238,4.151137828826904,6.643121719360352,4.627469062805176,4.43332052230835,5.634479999542236,False,False,high_activation_associated_with_failure
6,0.75,0.25,0.25,0.49278409090909137,0.14848223825589,1.0,19,1.0,19,4.316539764404297,4.312966346740723,5.909976959228516,3.4773616790771484,3.7816004753112793,4.620223522186279,5.627934455871582,4.06666898727417,3.925966501235962,4.982941627502441,4.660113334655762,4.5433149337768555,5.909976959228516,False,False,high_activation_associated_with_failure
7,0.6022727272727273,0.10227272727272729,0.10227272727272729,0.4897159090909088,0.1387369116565307,1.0,19,1.0,19,5.243520259857178,5.012718200683594,7.16678524017334,3.890583038330078,4.67927360534668,5.790904998779297,6.730171203613281,5.128538131713867,4.830613136291504,6.6816582679748535,5.401622772216797,5.506350517272949,7.16678524017334,False,False,high_activation_associated_with_failure
8,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
9,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
10,0.7272727272727273,0.2272727272727273,0.2272727272727273,0.49630681818181793,0.14226318540105473,1.0,19,1.0,19,4.423098087310791,4.40153694152832,5.813990592956543,2.9415266513824463,3.9854142665863037,5.033400535583496,5.544118404388428,4.206433296203613,4.265851020812988,5.514132499694824,4.721012592315674,5.033400535583496,5.813990592956543,False,False,high_activation_associated_with_failure
11,0.7272727272727273,0.2272727272727273,0.2272727272727273,0.5088636363636363,0.1454153001032977,1.0,19,1.0,19,4.451557159423828,4.4109368324279785,5.6758222579956055,3.329029083251953,3.92655611038208,5.080182075500488,5.543680191040039,4.192253112792969,4.171019554138184,5.528997421264648,4.80810022354126,4.912778377532959,5.6758222579956055,False,False,high_activation_associated_with_failure
12,0.5340909090909091,0.03409090909090906,0.03409090909090906,0.4759659090909092,0.13373497395706707,1.0,19,1.0,19,3.556964635848999,3.526027202606201,4.513777256011963,2.8917200565338135,3.0655875205993652,3.924471855163574,4.299569606781006,3.527655839920044,3.526027202606201,4.257415771484375,3.597263813018799,3.4765329360961914,4.513777256011963,False,False,high_activation_associated_with_failure
13,0.3181818181818182,-0.18181818181818182,0.18181818181818182,0.4973295454545453,0.1407760437679903,1.0,19,1.0,19,5.825402736663818,5.710723876953125,7.6730637550354,4.694832801818848,5.2581939697265625,6.431663513183594,7.253263473510742,6.066389083862305,6.299314975738525,7.6730637550354,5.494047164916992,5.5350470542907715,6.4482879638671875,False,False,high_activation_associated_with_success
14,0.625,0.125,0.125,0.5028977272727274,0.1354753144350694,1.0,19,1.0,19,3.927125930786133,4.019820690155029,5.0272216796875,3.0925211906433105,3.6316428184509277,4.211169242858887,4.595038890838623,3.8724257946014404,3.778641939163208,5.0272216796875,4.00233793258667,4.0841569900512695,4.547018527984619,False,False,high_activation_associated_with_failure
15,0.6363636363636364,0.13636363636363635,0.13636363636363635,0.5078977272727273,0.14049240764683654,1.0,19,1.0,19,4.534262180328369,4.62477970123291,5.646501064300537,3.4472501277923584,4.160783767700195,4.9314470291137695,5.435386657714844,4.4076385498046875,4.512300491333008,5.646501064300537,4.708370208740234,4.812743663787842,5.411929607391357,False,False,high_activation_associated_with_failure
16,0.38636363636363635,-0.11363636363636365,0.11363636363636365,0.5188636363636364,0.14153289341123185,1.0,19,1.0,19,40.690460205078125,5.3547868728637695,149.1852264404297,3.6408543586730957,4.28831148147583,78.51478576660156,137.7617950439453,44.85118103027344,5.3547868728637695,149.1852264404297,34.96945571899414,4.92075777053833,101.45458984375,False,False,high_activation_associated_with_success
17,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
18,0.625,0.125,0.125,0.4988068181818182,0.14144143165945375,1.0,19,1.0,19,3.4828689098358154,3.5077366828918457,4.726327419281006,2.7227699756622314,3.3317394256591797,3.7609739303588867,4.089904308319092,3.34609055519104,3.383758068084717,4.019190311431885,3.6709389686584473,3.620527505874634,4.726327419281006,False,False,high_activation_associated_with_failure
19,0.4431818181818182,-0.05681818181818182,0.05681818181818182,0.5061363636363634,0.13443638084933646,1.0,19,1.0,19,4.8454909324646,4.6843132972717285,6.337859630584717,3.8142712116241455,4.357968807220459,5.368202209472656,6.217356204986572,4.932608604431152,4.92708158493042,6.337859630584717,4.725705146789551,4.594871520996094,6.2039666175842285,False,False,high_activation_associated_with_success
20,0.6363636363636364,0.13636363636363635,0.13636363636363635,0.49284090909090894,0.1406674522698809,1.0,19,1.0,19,3.4341928958892822,3.395362377166748,4.557168483734131,2.4804913997650146,3.1093292236328125,3.823014259338379,4.484964370727539,3.304717779159546,3.284353017807007,4.190117359161377,3.6122214794158936,3.715313673019409,4.557168483734131,False,False,high_activation_associated_with_failure
21,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
22,0.625,0.125,0.125,0.4880113636363637,0.12986999568783616,1.0,19,1.0,19,3.8721370697021484,3.917908191680908,5.61033821105957,2.7802834510803223,3.3315911293029785,4.512322902679443,4.907388687133789,3.689951181411743,3.5558977127075195,4.752408504486084,4.122642517089844,4.190151214599609,5.61033821105957,False,False,high_activation_associated_with_failure
23,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
24,0.38636363636363635,-0.11363636363636365,0.11363636363636365,0.5014204545454544,0.14510316889349542,1.0,19,1.0,19,6.865146636962891,7.179883003234863,8.534982681274414,5.362832069396973,5.684138298034668,7.972251892089844,8.315056800842285,7.034695625305176,7.179883003234863,8.534982681274414,6.632016181945801,6.515677452087402,8.037712097167969,False,False,high_activation_associated_with_success
25,0.5909090909090909,0.09090909090909094,0.09090909090909094,0.4882386363636364,0.14715526276172025,1.0,19,1.0,19,3.7749104499816895,3.917081594467163,5.005195617675781,2.9271223545074463,3.4373674392700195,4.076193809509277,4.490077972412109,3.6612470149993896,3.917081594467163,4.432842254638672,3.931196928024292,3.974639892578125,5.005195617675781,False,False,high_activation_associated_with_failure
26,0.4772727272727273,-0.022727272727272707,0.022727272727272707,0.5013068181818181,0.1444128961748623,1.0,19,1.0,19,5.388431072235107,5.623440265655518,7.143234729766846,4.347363471984863,4.793080806732178,5.8183817863464355,6.29000186920166,5.443196773529053,5.556107997894287,7.143234729766846,5.313127517700195,5.635311126708984,6.137692451477051,False,False,high_activation_associated_with_success
27,0.5340909090909091,0.03409090909090906,0.03409090909090906,0.513125,0.1411384565611178,1.0,19,1.0,19,9.29155445098877,5.346624851226807,20.759902954101562,3.745126724243164,4.726963043212891,16.945919036865234,20.5150203704834,9.039876937866211,5.208334922790527,20.759902954101562,9.637611389160156,6.036043167114258,18.17866325378418,False,False,high_activation_associated_with_failure
28,0.4090909090909091,-0.09090909090909088,0.09090909090909088,0.5046022727272728,0.14805077123272029,1.0,19,1.0,19,5.503530979156494,5.224560737609863,7.736204147338867,4.574744701385498,4.883574962615967,6.003794193267822,6.629176616668701,5.515866279602051,5.42690372467041,6.392693042755127,5.486569404602051,5.102518558502197,7.736204147338867,False,False,high_activation_associated_with_success
29,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
30,0.5454545454545454,0.045454545454545414,0.045454545454545414,0.5111363636363634,0.14019688045479645,1.0,19,1.0,19,4.243753433227539,4.392310619354248,5.4013824462890625,3.3309247493743896,3.8131370544433594,4.691667556762695,5.21527099609375,4.239627361297607,4.392310619354248,5.194591999053955,4.249425888061523,4.357298851013184,5.4013824462890625,False,False,high_activation_associated_with_failure
31,0.6022727272727273,0.10227272727272729,0.10227272727272729,0.49914772727272677,0.1345376682137338,1.0,19,1.0,19,4.396235466003418,4.336947441101074,6.1941237449646,3.3783421516418457,3.9532930850982666,4.84127140045166,5.389358997344971,4.287383556365967,4.127652168273926,5.29994010925293,4.5459065437316895,4.763274192810059,6.1941237449646,False,False,high_activation_associated_with_failure
32,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
33,0.5113636363636364,0.011363636363636354,0.011363636363636354,0.5047159090909092,0.13376442099980518,1.0,19,1.0,19,4.120072364807129,4.043078899383545,5.099740982055664,3.4208409786224365,3.8084325790405273,4.452259540557861,5.025243759155273,4.106171607971191,4.047304630279541,5.016966342926025,4.139186382293701,4.003472328186035,5.099740982055664,False,False,high_activation_associated_with_failure
34,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
35,0.6477272727272727,0.1477272727272727,0.1477272727272727,0.5021022727272729,0.13643500736432704,1.0,19,1.0,19,4.772909164428711,4.524703025817871,6.226444721221924,3.4743340015411377,4.201267719268799,5.270865440368652,6.006806373596191,4.616886615753174,4.520501613616943,6.226444721221924,4.9874396324157715,5.270865440368652,5.9824018478393555,False,False,high_activation_associated_with_failure
36,0.6022727272727273,0.10227272727272729,0.10227272727272729,0.48818181818181844,0.1424033672644864,1.0,19,1.0,19,4.541439056396484,4.48382568359375,6.172997951507568,3.2234385013580322,4.085853576660156,4.945323944091797,6.093992233276367,4.371230602264404,4.429511070251465,6.172997951507568,4.775475978851318,4.659214496612549,6.085213661193848,False,False,high_activation_associated_with_failure
37,0.48863636363636365,-0.011363636363636354,0.011363636363636354,0.4785227272727273,0.1392858760556685,1.0,19,1.0,19,5.522552013397217,5.384243011474609,8.438076972961426,3.1822874546051025,4.879419326782227,6.166775703430176,7.774947643280029,5.592293739318848,5.460808753967285,7.701266288757324,5.4266581535339355,5.330496788024902,8.438076972961426,False,False,high_activation_associated_with_success
38,0.75,0.25,0.25,0.4997159090909089,0.14065426692693067,1.0,19,1.0,19,3.9798507690429688,3.863551378250122,5.427242755889893,2.867276430130005,3.504566192626953,4.721317291259766,4.964815139770508,3.72796630859375,3.6376116275787354,4.910308361053467,4.326192378997803,4.152866363525391,5.427242755889893,False,False,high_activation_associated_with_failure
39,0.7386363636363636,0.23863636363636365,0.23863636363636365,0.4964772727272726,0.14240132693631463,1.0,19,1.0,19,4.565733432769775,4.51811408996582,6.281174182891846,3.557056188583374,3.871432304382324,4.984637260437012,6.044528961181641,4.328930377960205,4.386253356933594,6.018234729766846,4.89133882522583,4.8364949226379395,6.281174182891846,False,False,high_activation_associated_with_failure
40,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
41,0.7840909090909091,0.28409090909090906,0.28409090909090906,0.49113636363636376,0.15020715722842434,1.0,19,1.0,19,3.277186632156372,3.4386179447174072,4.368366241455078,2.248798370361328,2.4645893573760986,3.9640684127807617,4.234679222106934,2.977886199951172,2.7861223220825195,4.219825267791748,3.6887245178222656,3.872802495956421,4.368366241455078,False,False,high_activation_associated_with_failure
42,0.75,0.25,0.25,0.4920454545454547,0.1421953754289797,1.0,19,1.0,19,5.153746604919434,5.092108249664307,7.269031524658203,3.8253514766693115,4.329751014709473,5.6104888916015625,7.061215400695801,4.7020673751831055,4.884474277496338,5.898796558380127,5.774805545806885,5.840243339538574,7.269031524658203,False,False,high_activation_associated_with_failure
43,0.45454545454545453,-0.04545454545454547,0.04545454545454547,0.4853409090909092,0.14092095807799357,1.0,19,1.0,19,5.576966762542725,5.655227184295654,7.177842617034912,4.119810104370117,4.688737869262695,6.476226806640625,7.147263526916504,5.66603946685791,5.695577144622803,7.143866062164307,5.454493045806885,5.1940507888793945,7.177842617034912,False,False,high_activation_associated_with_success
44,0.4772727272727273,-0.022727272727272707,0.022727272727272707,0.4923863636363637,0.13516093674695354,1.0,19,1.0,19,4.040137767791748,3.93472957611084,5.660277843475342,3.1464521884918213,3.6626534461975098,4.273005485534668,5.14655065536499,4.0030903816223145,3.93472957611084,5.0894694328308105,4.0910773277282715,3.9045143127441406,5.660277843475342,False,False,high_activation_associated_with_success
45,0.6022727272727273,0.10227272727272729,0.10227272727272729,0.48193181818181785,0.14155912199735293,1.0,19,1.0,19,4.068212509155273,3.8914926052093506,6.326465129852295,3.0374503135681152,3.7549262046813965,4.325355529785156,5.087724208831787,3.887878656387329,3.775275707244873,4.925244331359863,4.316170692443848,4.031362056732178,6.326465129852295,False,False,high_activation_associated_with_failure
46,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
47,0.5454545454545454,0.045454545454545414,0.045454545454545414,0.4923295454545455,0.13879898016794365,1.0,19,1.0,19,3.962465286254883,4.040393829345703,6.083624362945557,2.8027729988098145,3.1546757221221924,4.499720573425293,4.9161152839660645,3.835214376449585,4.040393829345703,4.786391258239746,4.137434959411621,4.237768173217773,6.083624362945557,False,False,high_activation_associated_with_failure
48,0.375,-0.125,0.125,0.5085227272727273,0.13676904697607464,1.0,19,1.0,19,4.622360706329346,4.602238655090332,5.733540058135986,3.769413709640503,4.386044502258301,5.049781322479248,5.3604512214660645,4.700454235076904,4.647446632385254,5.318996906280518,4.514981269836426,4.471101760864258,5.733540058135986,False,False,high_activation_associated_with_success
