feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
0,0.5252119589468988,0.02521195894689876,0.02521195894689876,0.49945961628854274,0.06440541928680821,1.0,110,1.0,110,3.710988759994507,3.838346481323242,5.997174263000488,2.443641185760498,3.244807720184326,4.049654006958008,5.022680759429932,3.691554069519043,3.836850643157959,5.5025315284729,3.7707324028015137,3.8773865699768066,5.997174263000488,False,False,high_activation_associated_with_failure
1,0.5037929495760821,0.0037929495760821164,0.0037929495760821164,0.4984698799550533,0.06517958141078349,1.0,110,1.0,110,4.2612128257751465,4.18177604675293,6.188962459564209,3.154151678085327,3.7299983501434326,4.693390846252441,5.61416482925415,4.272293567657471,4.170368194580078,6.188962459564209,4.2271504402160645,4.335289478302002,6.067119598388672,False,False,high_activation_associated_with_failure
2,0.6349843819723338,0.13498438197233376,0.13498438197233376,0.4988594382822514,0.06485301815023575,1.0,110,1.0,110,3.743748664855957,3.7450642585754395,6.045011520385742,2.4467074871063232,3.110685110092163,4.197999000549316,5.264622688293457,3.6262669563293457,3.645026683807373,5.525590419769287,4.104893207550049,3.946937084197998,6.045011520385742,False,True,high_activation_associated_with_failure
3,0.5185185185185185,0.01851851851851849,0.01851851851851849,0.4999053997039795,0.010505344305395223,1.0,1,0.00909090909090909,2,0.01652088388800621,0.0,1.8172972202301025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06730730086565018,0.0,1.8172972202301025,False,False,high_activation_associated_with_failure
4,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
5,0.6015171798304328,0.10151717983043285,0.10151717983043285,0.4982696123182774,0.06279602218399585,1.0,110,1.0,110,3.7038848400115967,3.6744439601898193,6.302560806274414,2.424846649169922,3.2197673320770264,4.228616237640381,5.123771667480469,3.6335673332214355,3.5837056636810303,6.302560806274414,3.9200499057769775,3.732792854309082,5.421392440795898,False,False,high_activation_associated_with_failure
6,0.5863453815261044,0.08634538152610438,0.08634538152610438,0.49816599766016006,0.06455768743345848,1.0,110,1.0,110,3.951427459716797,3.91202974319458,5.921746730804443,2.9227004051208496,3.358968734741211,4.394333839416504,5.322442531585693,3.9058783054351807,3.822317123413086,5.921746730804443,4.09144926071167,4.111131191253662,5.454944133758545,False,False,high_activation_associated_with_failure
7,0.3971441320838911,-0.1028558679161089,0.1028558679161089,0.49986175839304925,0.06380312898256987,1.0,110,1.0,110,4.782382011413574,4.810623645782471,7.143962383270264,3.299793243408203,4.260861396789551,5.3508405685424805,6.223459243774414,4.838946342468262,4.89501428604126,7.079443454742432,4.608500003814697,4.545714378356934,7.143962383270264,False,False,high_activation_associated_with_success
8,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
9,,,,,,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,neutral_or_degenerate
10,0.606425702811245,0.10642570281124497,0.10642570281124497,0.4984024992346764,0.06343191589075194,1.0,110,1.0,110,4.2634758949279785,4.234699726104736,7.406505584716797,2.74833345413208,3.7795188426971436,4.767030715942383,5.6382598876953125,4.2141218185424805,4.129227161407471,7.406505584716797,4.415200233459473,4.380107402801514,5.756083965301514,False,False,high_activation_associated_with_failure
11,0.5957161981258366,0.09571619812583665,0.09571619812583665,0.49819723376631736,0.06321723622112053,1.0,110,1.0,110,3.970874547958374,3.969675302505493,5.760798931121826,2.7743663787841797,3.5022995471954346,4.371205806732178,5.1662163734436035,3.9197046756744385,3.957608222961426,5.760798931121826,4.128173828125,4.140369415283203,5.418740272521973,False,False,high_activation_associated_with_failure
12,0.5542168674698795,0.054216867469879526,0.054216867469879526,0.49942739891409876,0.06392564801894261,1.0,110,1.0,110,3.2640902996063232,3.316767692565918,5.994560241699219,2.0050008296966553,2.7655720710754395,3.6761720180511475,4.538776397705078,3.2441306114196777,3.1958274841308594,5.994560241699219,3.325446844100952,3.3746304512023926,4.493431568145752,False,False,high_activation_associated_with_failure
13,0.4716644355198572,-0.028335564480142794,0.028335564480142794,0.49842597091794016,0.063622680657874,1.0,110,1.0,110,4.344475746154785,4.372293472290039,6.776695728302002,2.6603190898895264,3.821188449859619,4.8823628425598145,6.010286331176758,4.360935211181641,4.415196895599365,6.776695728302002,4.293877124786377,4.192340850830078,5.777242660522461,False,False,high_activation_associated_with_success
