case_id,feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,12680,0.011111111111111112,-0.4888888888888889,0.4888888888888889,0.47488888888888914,0.14620398400273155,0.373134328358209,23,1.0,23,3.427865743637085,3.254452705383301,5.659904956817627,2.1748785972595215,2.909674644470215,4.037318229675293,4.759245872497559,3.728243827819824,3.4294180870056152,5.659904956817627,2.3465046882629395,2.2918853759765625,2.896531581878662,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,8914,0.9777777777777777,0.47777777777777775,0.47777777777777775,0.49983333333333313,0.1474787178620103,0.5124378109452736,23,1.0,23,3.3223395347595215,3.2888662815093994,4.599800109863281,2.5268516540527344,2.887843608856201,3.6304783821105957,4.313577175140381,3.09342360496521,3.04508113861084,3.9755287170410156,4.146435737609863,4.1703691482543945,4.599800109863281,False,False,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,9732,0.044444444444444446,-0.45555555555555555,0.45555555555555555,0.4960555555555555,0.15539633716705875,0.8407960199004975,23,1.0,23,3.0650956630706787,3.091827869415283,4.097443103790283,2.044355630874634,2.7917635440826416,3.5240025520324707,4.026708602905273,3.2995314598083496,3.3030874729156494,4.097443103790283,2.221125841140747,2.0452396869659424,2.947633981704712,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,12817,0.044444444444444446,-0.45555555555555555,0.45555555555555555,0.4784999999999999,0.1434671102671097,0.8407960199004975,23,1.0,23,3.6530864238739014,3.562178134918213,5.416481971740723,2.2124788761138916,3.2587356567382812,4.272805213928223,5.006933212280273,3.9745635986328125,3.9869778156280518,5.416481971740723,2.4957692623138428,2.4407713413238525,3.209589958190918,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,15428,0.044444444444444446,-0.45555555555555555,0.45555555555555555,0.48444444444444484,0.1474097338360967,0.8407960199004975,23,1.0,23,3.2746405601501465,3.113133192062378,4.777168273925781,2.0364036560058594,2.7899866104125977,3.90841007232666,4.694941997528076,3.4833738803863525,3.3023934364318848,4.777168273925781,2.5232014656066895,2.679062604904175,2.7819581031799316,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,10999,0.05555555555555555,-0.4444444444444444,0.4444444444444444,0.49000000000000005,0.14727148022916323,0.9303482587064676,23,1.0,23,3.8671646118164062,3.8152050971984863,5.8652167320251465,2.598649740219116,3.1987295150756836,4.540243148803711,5.248958110809326,4.149261951446533,4.141667366027832,5.8652167320251465,2.8516156673431396,2.8522160053253174,3.1073427200317383,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,11777,0.05555555555555555,-0.4444444444444444,0.4444444444444444,0.492166666666667,0.15364620856827865,0.9303482587064676,23,1.0,23,4.9205474853515625,4.936633586883545,8.282146453857422,3.2934391498565674,3.9979991912841797,5.70088005065918,6.3761138916015625,5.338743209838867,5.14771842956543,8.282146453857422,3.4150454998016357,3.6733591556549072,4.293862342834473,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,243,0.06666666666666667,-0.43333333333333335,0.43333333333333335,0.4851111111111107,0.1562541456240175,0.9800995024875622,23,1.0,23,3.1399986743927,3.12458872795105,5.178014755249023,2.196136951446533,2.4246826171875,3.7674436569213867,4.433549404144287,3.3979151248931885,3.343423843383789,5.178014755249023,2.211500644683838,2.270150899887085,2.699995517730713,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,3156,0.06666666666666667,-0.43333333333333335,0.43333333333333335,0.4868333333333333,0.154520674632519,0.9800995024875622,23,1.0,23,3.3189449310302734,3.3012449741363525,4.249501705169678,2.2849347591400146,3.0131938457489014,3.8284764289855957,4.080978870391846,3.5561201572418213,3.6330504417419434,4.249501705169678,2.465116024017334,2.8506994247436523,3.0447535514831543,False,False,high_activation_associated_with_success
deepseek_base_finetuned_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,3478,0.06666666666666667,-0.43333333333333335,0.43333333333333335,0.5034444444444444,0.14483447342175781,0.9800995024875622,23,1.0,23,7.7092671394348145,4.42417049407959,86.61165618896484,2.032104730606079,3.3669633865356445,5.122357368469238,6.9242777824401855,9.159442901611328,4.714208602905273,86.61165618896484,2.4886341094970703,2.4422547817230225,4.153454780578613,False,False,high_activation_associated_with_success
