rank,feature_id,benchmark,task_id,task_idx,source_text,tokens,filename,rms_normalized,transition,max_activation,position,position_percent,token_text,context,encoder_base_contribution,encoder_finetuned_contribution
1,13147,bigcodebench,BigCodeBench/552,552,codellama_base,323,same_text__bigcodebench__task_0552__gen_00__BigCodeBench_552.npz,True,both_fail,37.675655364990234,65,20.123839009287927,  ,chain to combine two lists.\n    # - Use matplotlib.pyplot.bar to plot a bar chart.\n    # - Use matplotlib.pyplot.xticks to set the labels of the x-axis.\n    # -,12.919654846191406,24.758251190185547
2,13147,bigcodebench,BigCodeBench/1098,1098,codellama_base,513,same_text__bigcodebench__task_1098__gen_00__BigCodeBench_1098.npz,True,both_fail,36.71192169189453,39,7.60233918128655,  ,   # - Use re.sub() to remove urls\n    # - Use Counter() to count the words\n    # - Use sorted() to sort the words by frequency\n    # - Use a list comprehension to get the top,13.07100772857666,23.643190383911133
3,13147,bigcodebench,BigCodeBench/1049,1049,codellama_base,513,same_text__bigcodebench__task_1049__gen_00__BigCodeBench_1049.npz,True,both_fail,36.07093048095703,43,8.382066276803119,  ,the re module to replace tabs with spaces.\n    # - Use the re module to filter out empty lines.\n    # - Use the re module to filter out lines that contain only whitespace.\n    # - Use the re module to,12.4287109375,23.644458770751953
4,13147,bigcodebench,BigCodeBench/1108,1108,codellama_base,513,same_text__bigcodebench__task_1108__gen_00__BigCodeBench_1108.npz,True,both_fail,35.974327087402344,66,12.865497076023392,  ,   # Hint: Use re.compile()\n    # Hint: Use re.IGNORECASE\n    # Hint: Use re.MULTILINE\n    # Hint: Use re.DOTALL\n,12.345294952392578,23.631277084350586
5,13147,bigcodebench,BigCodeBench/98,98,codellama_base,513,same_text__bigcodebench__task_0098__gen_00__BigCodeBench_98.npz,True,both_fail,35.89289093017578,47,9.161793372319687,  ,Hint: Use the Counter class from the collections module\n    # Hint: Use the sorted() function\n    # Hint: Use the zip() function\n    # Hint: Use the map() function\n    # H,12.513555526733398,23.381591796875
6,13147,bigcodebench,BigCodeBench/1046,1046,codellama_base,501,same_text__bigcodebench__task_1046__gen_00__BigCodeBench_1046.npz,True,both_fail,35.57731628417969,113,22.55489021956088,  ,   # Hint: Use the pandas.DataFrame() function to create a DataFrame from the list of tuples\n    # Hint: Use the pandas.DataFrame.to_dict() function to convert the DataFrame to a dictionary\n,12.627954483032227,22.95160484313965
7,13147,bigcodebench,BigCodeBench/569,569,codellama_base,138,same_text__bigcodebench__task_0569__gen_00__BigCodeBench_569.npz,True,both_fail,35.559791564941406,69,50.0,  ,"is a lambda function\n    # Hint: Use math.sqrt() to get the square root of a number\n    return {'function_name': f.__name__, 'sqrt_args': math.sqrt(len(inspect",11.650674819946289,23.91138458251953
8,13147,bigcodebench,BigCodeBench/874,874,codellama_base,88,same_text__bigcodebench__task_0874__gen_00__BigCodeBench_874.npz,True,both_fail,35.51548385620117,40,45.45454545454545,  ,"_longest from itertools\n    # Hint: Use distance.euclidean from scipy.spatial\n    # Hint: Use the return statement\n    return [distance.euclidean(a, b) for a,",13.311676025390625,22.206069946289062
9,13147,bigcodebench,BigCodeBench/1089,1089,codellama_base,513,same_text__bigcodebench__task_1089__gen_00__BigCodeBench_1089.npz,True,both_fail,35.470149993896484,104,20.2729044834308,  ,to a list\n    # Hint: Use the dict() function to convert the Counter object to a dictionary\n    # Hint: Use the zip() function to iterate over the list of tuples\n    # Hint: Use,12.995248794555664,22.477163314819336
10,13147,bigcodebench,BigCodeBench/279,279,codellama_base,513,same_text__bigcodebench__task_0279__gen_00__BigCodeBench_279.npz,True,both_fail,35.36781311035156,58,11.306042884990253,  ,draw x hands.\n    # Hint: Use random.sample to draw 5 cards from the deck.\n    # Hint: Use random.sample to draw 5 cards from the deck.\n    # Hint: Use,11.921834945678711,23.448226928710938
11,13147,bigcodebench,BigCodeBench/268,268,codellama_base,513,same_text__bigcodebench__task_0268__gen_00__BigCodeBench_268.npz,True,improvement,35.24477767944336,69,13.450292397660819,  ,function\n    # Hint: Use the list() function\n    # Hint: Use the zip() function\n    # Hint: Use the len() function\n    # Hint: Use the int() function\n    # H,12.484582901000977,22.762470245361328
12,13147,bigcodebench,BigCodeBench/389,389,codellama_base,513,same_text__bigcodebench__task_0389__gen_00__BigCodeBench_389.npz,True,both_fail,35.085975646972656,71,13.840155945419104,  ,int: Use os.path.join()\n    # Hint: Use os.path.isfile()\n    # Hint: Use os.path.isdir()\n    # Hint: Use os.path.exists,12.229009628295898,22.859207153320312
13,13147,bigcodebench,BigCodeBench/1094,1094,codellama_base,512,same_text__bigcodebench__task_1094__gen_00__BigCodeBench_1094.npz,True,both_fail,35.00507736206055,87,16.9921875,  ,"   # Hint: Use the isalpha() method to filter out tokens that are solely ""$"" symbols.\n    # Hint: Use the join() method to convert the list of tuples into a string.\n    # H",12.377265930175781,22.630081176757812
14,13147,bigcodebench,BigCodeBench/471,471,codellama_base,512,same_text__bigcodebench__task_0471__gen_00__BigCodeBench_471.npz,True,both_fail,34.86040115356445,64,12.5,  ,Use pd.DataFrame.reset_index()\n    # Hint: Use pd.DataFrame.rename()\n    # Hint: Use pd.DataFrame.sort_values()\n    # Hint: Use pd.DataFrame.,13.094236373901367,21.768430709838867
15,13147,bigcodebench,BigCodeBench/159,159,codellama_base,76,same_text__bigcodebench__task_0159__gen_00__BigCodeBench_159.npz,True,both_fail,34.46741485595703,72,94.73684210526316,  ,Use the gzip module to compress the BytesIO object\n    # Hint: Return the compressed data\n    return None\n,10.602262496948242,23.867414474487305
16,13147,bigcodebench,BigCodeBench/7,7,codellama_base,513,same_text__bigcodebench__task_0007__gen_00__BigCodeBench_7.npz,True,both_fail,34.36399841308594,93,18.128654970760234,  ,create a sum function.\n    # Hint: Use the operator module to create a itemgetter function.\n    # Hint: Use the operator module to create a attrgetter function.\n    # Hint: Use the,11.268514633178711,23.09772491455078
17,13147,bigcodebench,BigCodeBench/1069,1069,codellama_base,513,same_text__bigcodebench__task_1069__gen_00__BigCodeBench_1069.npz,True,both_fail,34.20411682128906,78,15.2046783625731,  ,DataFrame.plot() method.\n    # Hint: Use the pandas.DataFrame.isnull() method.\n    # Hint: Use the pandas.DataFrame.dropna() method.\n    # Hint: Use the pandas,11.556120872497559,22.650243759155273
18,13147,bigcodebench,BigCodeBench/226,226,codellama_base,513,same_text__bigcodebench__task_0226__gen_00__BigCodeBench_226.npz,True,both_fail,34.15923309326172,80,15.594541910331383,  ,.\n    #       Use the range_start and range_end parameters to generate the e^x values.\n    #       Use the range_start and range_end parameters to set the x and y limits of the plot.\n,12.143135070800781,22.018381118774414
19,13147,bigcodebench,BigCodeBench/623,623,codellama_base,513,same_text__bigcodebench__task_0623__gen_00__BigCodeBench_623.npz,True,both_fail,34.017513275146484,89,17.348927875243664,  ,scatter() function.\n    # Hint: Use the 'cmap' parameter of the scatter() function.\n    # Hint: Use the 'vmin' parameter of the scatter() function.\n    # Hint: Use,11.928677558898926,22.09113121032715
20,13147,bigcodebench,BigCodeBench/287,287,codellama_base,513,same_text__bigcodebench__task_0287__gen_00__BigCodeBench_287.npz,True,both_fail,33.92401123046875,80,15.594541910331383,  ,JSON file\n    # HINT: Use os.path.join to create the full path to the output file\n    # HINT: Use os.path.isfile to check if a file is a .txt file\n    #,11.566988945007324,22.359296798706055
21,13147,bigcodebench,BigCodeBench/800,800,codellama_base,513,same_text__bigcodebench__task_0800__gen_00__BigCodeBench_800.npz,True,both_fail,33.758705139160156,72,14.035087719298245,  ,Hint: You can use the collections.Counter module to count the total number of goals and penalties.\n    # Hint: You can use the csv module to write the CSV file.\n    # Hint: You can,9.747888565063477,24.01308822631836
