feature_id,rank,token_text,active_occurrences,activation_sum,mean_activation
13147,1,  ,4232,42408.403843939304,10.020889377112312
13147,2,"
",2738,13734.565742522478,5.016276750373439
13147,3,#,990,3302.3423478603363,3.335699341273067
13147,4,...,379,1364.01092004776,3.5989734038199472
13147,5,H,227,696.0388027429581,3.066250232347833
13147,6,      ,306,602.5926402807236,1.9692569943814495
13147,7,TODO,127,329.3261071443558,2.593118953892565
13147,8,return,54,271.8579608798027,5.034406682959309
13147,9,pass,23,268.7392864227295,11.684316800988238
13147,10,.,109,167.35979062318802,1.535410923148514
13147,11,code,50,134.7397278547287,2.694794557094574
13147,12,:,73,130.05621308088303,1.7815919600120962
13147,13,here,71,124.28413504362106,1.7504807752622684
13147,14,"""""""",39,104.35042744874954,2.6756519858653727
13147,15,function,47,100.08819842338562,2.129536136667779
13147,16,Im,39,96.24789148569107,2.467894653479258
13147,17,Your,44,77.20266705751419,1.754606069488959
13147,18,=,27,56.661691784858704,2.098581177216989
13147,19, ,31,49.0624880194664,1.582660903853755
13147,20,[,18,41.095353960990906,2.2830752200550504
13147,21,_,14,38.04164636135101,2.7172604543822154
13147,22,----------------,17,35.25389766693115,2.0737586862900677
13147,23,(,14,30.58175218105316,2.184410870075226
13147,24,),12,29.017011284828186,2.418084273735682
13147,25,':,5,21.609344720840454,4.321868944168091
13147,26,              ,9,18.844603180885315,2.0938447978761463
13147,27,Error,5,18.38831663131714,3.6776633262634277
13147,28,,6,17.254326581954956,2.8757210969924927
13147,29,raise,5,17.03816545009613,3.407633090019226
13147,30,'),8,16.950535535812378,2.1188169419765472
