task_id,task_idx,group,alpha,correct,changed_vs_alpha0,generated_tokens,residual_norm_mean,intervention_norm_mean,intervention_to_residual_ratio_mean,projection_before_mean,projection_after_mean
BigCodeBench/134,134,regression,-1.5,False,False,512,129.37550261616707,0.9980610609054565,0.0077892399867778295,-0.6787389517703559,-1.6767999572621193
BigCodeBench/238,238,regression,-1.5,False,True,512,124.59243324398994,0.9980610609054565,0.008086845837169676,-1.1908298509079032,-2.1888908800901845
BigCodeBench/133,133,regression,-1.5,False,True,512,128.24530935287476,0.9980610609054565,0.007857945367959474,-0.8435836214339361,-1.8416446575138252
BigCodeBench/1010,1010,regression,-1.5,False,True,512,127.20233051478863,0.9980610609054565,0.007917887328403594,-1.048988384573022,-2.0470494070323184
BigCodeBench/623,623,regression,-1.5,False,True,512,128.19305616617203,0.9980610609054565,0.007851874613152177,-1.2459964922454674,-2.244057517062174
BigCodeBench/877,877,preserved_success,-1.5,True,False,512,133.1929112970829,0.9980610609054565,0.007947245354216648,-1.2096535325690638,-2.2077145671646576
BigCodeBench/923,923,preserved_success,-1.5,True,True,256,143.4041646718979,0.9980610609054565,0.008162506231201405,-1.434056757716462,-2.4321177799720317
BigCodeBench/454,454,preserved_success,-1.5,True,True,512,123.10776491463184,0.9980610609054565,0.008190067565010395,-0.6527451889996883,-1.6508061953936704
BigCodeBench/106,106,preserved_success,-1.5,True,False,512,126.36209450662136,0.9980610609054565,0.007973960759954934,-0.6229428095975891,-1.6210038217832334
BigCodeBench/362,362,preserved_success,-1.5,True,True,512,123.25278390944004,0.9980610609054565,0.008175277092050237,-0.9277157716278452,-1.9257767958915792
BigCodeBench/134,134,regression,-2.0,False,True,512,131.26325254142284,1.330741047859192,0.010480683635819332,-0.9457231436681468,-2.2764640375389718
BigCodeBench/238,238,regression,-2.0,False,True,512,124.59243324398994,1.330741047859192,0.01078240414881293,-1.1908298509079032,-2.5215707710012794
BigCodeBench/133,133,regression,-2.0,False,True,512,128.24530935287476,1.330741047859192,0.010477205137249257,-0.8435836214339361,-2.174324558698572
BigCodeBench/1010,1010,regression,-2.0,False,True,512,127.20233051478863,1.330741047859192,0.010557127272477373,-1.048988384573022,-2.379729298874736
BigCodeBench/623,623,regression,-2.0,False,True,512,128.29671970009804,1.330741047859192,0.010459334546794707,-1.522406570817111,-2.8531475150666665
BigCodeBench/877,877,preserved_success,-2.0,True,False,512,133.1929112970829,1.330741047859192,0.010596271102542687,-1.2096535325690638,-2.5403944839490578
BigCodeBench/923,923,preserved_success,-2.0,True,True,256,143.4041646718979,1.330741047859192,0.010883284123792691,-1.434056757716462,-2.7647976592415944
BigCodeBench/454,454,preserved_success,-2.0,True,True,512,123.10776491463184,1.330741047859192,0.010920032383182843,-0.6527451889996883,-1.9834861034760252
BigCodeBench/106,106,preserved_success,-2.0,True,False,512,126.36209450662136,1.330741047859192,0.010631891504999658,-0.6229428095975891,-1.9536837229388766
BigCodeBench/362,362,preserved_success,-2.0,True,True,512,123.25278390944004,1.330741047859192,0.01090031185594853,-0.9277157716278452,-2.2584567007725127
BigCodeBench/134,134,regression,-3.0,False,True,512,124.95144538581371,1.996122121810913,0.016105111829347152,0.2717693054873962,-1.7243527123937383
BigCodeBench/238,238,regression,-3.0,False,True,512,124.93940083682537,1.996122121810913,0.016133385246575926,-1.1671308030781802,-3.1632528647896834
BigCodeBench/133,133,regression,-3.0,False,True,512,128.24530935287476,1.996122121810913,0.015715890735918947,-0.8435836214339361,-2.839705677353777
BigCodeBench/1010,1010,regression,-3.0,False,True,512,127.20233051478863,1.996122121810913,0.01583577465680719,-1.048988384573022,-3.045110419683624
BigCodeBench/623,623,regression,-3.0,False,True,512,128.29671970009804,1.996122121810913,0.0156890847683826,-1.522406570817111,-3.5185286146006547
