task_id,task_idx,group,alpha,correct,changed_vs_alpha0,generated_tokens,residual_norm_mean,intervention_norm_mean,intervention_to_residual_ratio_mean,projection_before_mean,projection_after_mean
BigCodeBench/415,415,regression,1.5,False,False,512,42.71326603367925,0.9528679251670837,0.022556758212886052,-0.9173748628090834,0.03549307501089061
BigCodeBench/1083,1083,regression,1.5,False,False,512,41.423431657254696,0.9528679251670837,0.023180866173788672,-0.7172701687813969,0.23559776962792967
BigCodeBench/974,974,regression,1.5,False,False,512,42.7120716124773,0.9528679251670837,0.02259348660663818,-0.7505266089719953,0.20234132651239634
BigCodeBench/756,756,regression,1.5,False,False,109,39.60241580228193,0.9528679251670837,0.024429869265594612,-0.15230656927878702,0.8005613483693621
BigCodeBench/536,536,regression,1.5,False,False,512,43.84644768759608,0.9528679251670837,0.021988526728819124,-0.6752171854386688,0.277650747608277
BigCodeBench/1133,1133,preserved_success,1.5,True,False,99,39.78601742754079,0.9528679251670837,0.024226367793450453,0.11945548472982465,1.0723234172722307
BigCodeBench/1109,1109,preserved_success,1.5,True,False,55,38.59577178955078,0.9528679251670837,0.024927735565738244,0.2527031256393953,1.2055710315704347
BigCodeBench/861,861,preserved_success,1.5,False,True,512,44.089953765273094,0.9528679251670837,0.02193806366631179,-0.6300025044256472,0.322865431990067
BigCodeBench/272,272,preserved_success,1.5,True,True,512,45.91571468859911,0.9528679251670837,0.02094565532024717,-0.6580499068804784,0.2948180240491638
BigCodeBench/1000,1000,preserved_success,1.5,True,True,512,41.23210908845067,0.9528679251670837,0.023409390418237308,-0.6070694373702281,0.3457985008426476
BigCodeBench/415,415,regression,2.0,False,False,512,42.71326603367925,1.2704925537109375,0.030075724611378973,-0.9173748628090834,0.3531176611868432
BigCodeBench/1083,1083,regression,2.0,False,False,512,41.423431657254696,1.2704925537109375,0.03090786996835959,-0.7172701687813969,0.5532223588234046
BigCodeBench/974,974,regression,2.0,False,False,512,42.7120716124773,1.2704925537109375,0.030124695909762522,-0.7505266089719953,0.5199659233403509
BigCodeBench/756,756,regression,2.0,False,False,109,39.60241580228193,1.2704925537109375,0.03257321000714368,-0.15230656927878702,1.1181859551766598
BigCodeBench/536,536,regression,2.0,False,False,512,43.84644768759608,1.2704925537109375,0.02931808141511283,-0.6752171854386688,0.5952753425081028
BigCodeBench/1133,1133,preserved_success,2.0,True,False,99,39.78601742754079,1.2704925537109375,0.03230187402229116,0.11945548472982465,1.3899480059291378
BigCodeBench/1109,1109,preserved_success,2.0,True,True,53,38.62687690303011,1.2704925537109375,0.03321327978991113,0.2940062450350456,1.5644987664132748
BigCodeBench/861,861,preserved_success,2.0,True,True,512,42.30911424010992,1.2704925537109375,0.030455338397587184,-0.41328948376030894,0.8572030429641018
BigCodeBench/272,272,preserved_success,2.0,True,True,512,45.91571468859911,1.2704925537109375,0.02792758412033436,-0.6580499068804784,0.6124426172318636
BigCodeBench/1000,1000,preserved_success,2.0,True,True,512,41.23210908845067,1.2704925537109375,0.031212569345370866,-0.6070694373702281,0.6634230950076017
BigCodeBench/415,415,regression,3.0,False,False,512,42.71326603367925,1.9057358503341675,0.045113516425772104,-0.9173748628090834,0.9883610098331701
BigCodeBench/1083,1083,regression,3.0,False,False,512,41.423431657254696,1.9057358503341675,0.046361732347577345,-0.7172701687813969,1.1884656974871177
BigCodeBench/974,974,regression,3.0,False,False,512,42.7120716124773,1.9057358503341675,0.04518697321327636,-0.7505266089719953,1.1552092605561484
BigCodeBench/756,756,regression,3.0,False,True,512,42.66398207843304,1.9057358503341675,0.04525210001884261,-0.751162527143606,1.1545733294187812
BigCodeBench/536,536,regression,3.0,False,True,512,43.846611492335796,1.9057358503341675,0.043977716108202,-0.6844946607234306,1.2212412028748076
BigCodeBench/1133,1133,preserved_success,3.0,True,False,99,39.78601742754079,1.9057358503341675,0.04845273558690091,0.11945548472982465,2.0251913660704486
BigCodeBench/1109,1109,preserved_success,3.0,True,True,53,38.62687690303011,1.9057358503341675,0.04981984198093414,0.2940062450350456,2.199742078781128
BigCodeBench/861,861,preserved_success,3.0,False,True,512,44.089953765273094,1.9057358503341675,0.04387612733262358,-0.6300025044256472,1.2757333618355915
BigCodeBench/272,272,preserved_success,3.0,True,True,512,45.91571468859911,1.9057358503341675,0.04189131064049434,-0.6580499068804784,1.2476859593589325
BigCodeBench/1000,1000,preserved_success,3.0,True,True,512,41.23210908845067,1.9057358503341675,0.046818780836474616,-0.6070694373702281,1.298666430870071
BigCodeBench/415,415,regression,4.0,False,False,512,42.71326603367925,2.540985107421875,0.06015144922275795,-0.9173748628090834,1.6236101900576614
BigCodeBench/1083,1083,regression,4.0,False,False,512,41.423431657254696,2.540985107421875,0.06181573993671918,-0.7172701687813969,1.8237148771295324
BigCodeBench/974,974,regression,4.0,False,False,512,42.7120716124773,2.540985107421875,0.060249391819525044,-0.7505266089719953,1.7904584422067273
BigCodeBench/756,756,regression,4.0,False,True,512,42.66398207843304,2.540985107421875,0.06033622769609792,-0.751162527143606,1.7898225264798384
BigCodeBench/536,536,regression,4.0,False,True,512,43.846611492335796,2.540985107421875,0.0586370464952779,-0.6844946607234306,1.8564903874066658
BigCodeBench/1133,1133,preserved_success,4.0,True,False,99,39.78601742754079,2.540985107421875,0.06460374804458233,0.11945548472982465,2.660440544889431
BigCodeBench/1109,1109,preserved_success,4.0,True,True,53,38.62687690303011,2.540985107421875,0.06642655957982226,0.2940062450350456,2.834991308878053
BigCodeBench/861,861,preserved_success,4.0,False,True,512,43.43675244599581,2.540985107421875,0.05932426902290899,-0.6324257575906813,1.9085592885676306
BigCodeBench/272,272,preserved_success,4.0,True,True,512,45.91571468859911,2.540985107421875,0.05585516824066872,-0.6580499068804784,1.8829351471213158
BigCodeBench/1000,1000,preserved_success,4.0,True,True,512,41.23210908845067,2.540985107421875,0.06242513869074173,-0.6070694373702281,1.9339156244241167
