task_id,task_idx,group,alpha,correct,syntax_ok_before_v4,generated_tokens,changed_vs_alpha0
BigCodeBench/415,415,regression,0.0,False,False,512,False
BigCodeBench/1083,1083,regression,0.0,False,False,512,False
BigCodeBench/974,974,regression,0.0,False,False,512,False
BigCodeBench/756,756,regression,0.0,False,False,109,False
BigCodeBench/536,536,regression,0.0,False,False,512,False
BigCodeBench/390,390,regression,0.0,False,False,512,False
BigCodeBench/607,607,regression,0.0,False,False,512,False
BigCodeBench/742,742,regression,0.0,False,False,512,False
BigCodeBench/563,563,regression,0.0,False,False,512,False
BigCodeBench/166,166,regression,0.0,False,True,512,False
BigCodeBench/1133,1133,preserved_success,0.0,True,False,99,False
BigCodeBench/713,713,preserved_success,0.0,False,False,122,False
BigCodeBench/783,783,preserved_success,0.0,False,False,512,False
BigCodeBench/336,336,preserved_success,0.0,False,False,512,False
BigCodeBench/1109,1109,preserved_success,0.0,True,True,55,False
BigCodeBench/820,820,preserved_success,0.0,False,False,512,False
BigCodeBench/861,861,preserved_success,0.0,True,True,512,False
BigCodeBench/437,437,preserved_success,0.0,False,False,512,False
BigCodeBench/272,272,preserved_success,0.0,True,False,512,False
BigCodeBench/1000,1000,preserved_success,0.0,True,False,425,False
BigCodeBench/415,415,regression,0.25,False,False,512,False
BigCodeBench/1083,1083,regression,0.25,False,False,512,False
BigCodeBench/974,974,regression,0.25,False,False,512,False
BigCodeBench/756,756,regression,0.25,False,False,109,False
BigCodeBench/536,536,regression,0.25,False,False,512,False
BigCodeBench/390,390,regression,0.25,False,False,512,False
BigCodeBench/607,607,regression,0.25,False,False,512,False
BigCodeBench/742,742,regression,0.25,False,False,512,False
BigCodeBench/563,563,regression,0.25,False,False,512,False
BigCodeBench/166,166,regression,0.25,False,True,512,False
BigCodeBench/1133,1133,preserved_success,0.25,True,False,99,False
BigCodeBench/713,713,preserved_success,0.25,False,False,122,False
BigCodeBench/783,783,preserved_success,0.25,False,False,512,False
BigCodeBench/336,336,preserved_success,0.25,False,False,512,False
BigCodeBench/1109,1109,preserved_success,0.25,True,True,55,False
