feature_id,aggregation,alpha,task_id,baseline_correct,steered_correct,raw_completion_changed,baseline_tokens,steered_tokens,intervention_vector_norm,status,failed_test_count
13439,p80,1.0,BigCodeBench/862,False,False,False,512,512,0.638671875,fail,1
13439,p80,1.0,BigCodeBench/860,False,False,False,512,512,0.638671875,fail,1
13439,p80,1.0,BigCodeBench/722,False,False,True,381,485,0.638671875,fail,5
13439,p80,1.0,BigCodeBench/563,False,False,False,512,512,0.638671875,fail,6
13439,p80,1.0,BigCodeBench/592,False,False,False,512,512,0.638671875,fail,5
13439,p80,2.0,BigCodeBench/862,False,False,False,512,512,1.27734375,fail,1
13439,p80,2.0,BigCodeBench/860,False,False,False,512,512,1.27734375,fail,1
13439,p80,2.0,BigCodeBench/722,False,False,True,381,485,1.27734375,fail,5
13439,p80,2.0,BigCodeBench/563,False,False,False,512,512,1.27734375,fail,6
13439,p80,2.0,BigCodeBench/592,False,False,False,512,512,1.27734375,fail,5
13439,p80,4.0,BigCodeBench/862,False,False,False,512,512,2.5546875,fail,1
13439,p80,4.0,BigCodeBench/860,False,False,False,512,512,2.5546875,fail,1
13439,p80,4.0,BigCodeBench/722,False,False,True,381,485,2.5546875,fail,5
13439,p80,4.0,BigCodeBench/563,False,False,True,512,512,2.5546875,fail,6
13439,p80,4.0,BigCodeBench/592,False,False,True,512,512,2.5546875,fail,5
13439,p80,-2.0,BigCodeBench/862,False,False,False,512,512,1.27734375,fail,1
13439,p80,-2.0,BigCodeBench/860,False,False,False,512,512,1.27734375,fail,1
13439,p80,-2.0,BigCodeBench/722,False,False,True,381,512,1.27734375,fail,5
13439,p80,-2.0,BigCodeBench/563,False,False,False,512,512,1.27734375,fail,6
13439,p80,-2.0,BigCodeBench/592,False,False,False,512,512,1.27734375,fail,5
4567,p60,1.0,BigCodeBench/43,False,False,False,512,512,0.6484375,fail,6
4567,p60,1.0,BigCodeBench/722,False,False,False,381,381,0.6484375,fail,5
4567,p60,1.0,BigCodeBench/976,False,False,False,512,512,0.6484375,fail,5
4567,p60,1.0,BigCodeBench/204,False,False,False,512,512,0.6484375,fail,5
4567,p60,1.0,BigCodeBench/288,False,False,False,512,512,0.6484375,fail,5
4567,p60,2.0,BigCodeBench/43,False,False,False,512,512,1.296875,fail,6
4567,p60,2.0,BigCodeBench/722,False,False,True,381,485,1.296875,fail,5
4567,p60,2.0,BigCodeBench/976,False,False,False,512,512,1.296875,fail,5
4567,p60,2.0,BigCodeBench/204,False,False,False,512,512,1.296875,fail,5
4567,p60,2.0,BigCodeBench/288,False,False,False,512,512,1.296875,fail,5
4567,p60,4.0,BigCodeBench/43,False,False,False,512,512,2.59375,fail,6
4567,p60,4.0,BigCodeBench/722,False,False,True,381,485,2.59375,fail,5
4567,p60,4.0,BigCodeBench/976,False,False,False,512,512,2.59375,fail,5
4567,p60,4.0,BigCodeBench/204,False,False,False,512,512,2.59375,fail,5
4567,p60,4.0,BigCodeBench/288,False,False,True,512,512,2.59375,fail,5
4567,p60,-2.0,BigCodeBench/43,False,False,False,512,512,1.296875,fail,6
4567,p60,-2.0,BigCodeBench/722,False,False,True,381,181,1.296875,fail,1
4567,p60,-2.0,BigCodeBench/976,False,False,True,512,512,1.296875,fail,5
4567,p60,-2.0,BigCodeBench/204,False,False,False,512,512,1.296875,fail,5
4567,p60,-2.0,BigCodeBench/288,False,False,False,512,512,1.296875,fail,5
4815,p80,1.0,BigCodeBench/258,False,False,False,25,25,0.58935546875,fail,5
4815,p80,1.0,BigCodeBench/465,False,False,False,512,512,0.58935546875,fail,4
4815,p80,1.0,BigCodeBench/566,False,False,True,512,512,0.58935546875,fail,5
4815,p80,1.0,BigCodeBench/504,False,False,False,512,512,0.58935546875,fail,4
4815,p80,1.0,BigCodeBench/288,False,False,False,512,512,0.58935546875,fail,5
4815,p80,2.0,BigCodeBench/258,False,False,False,25,25,1.1787109375,fail,5
4815,p80,2.0,BigCodeBench/465,False,False,False,512,512,1.1787109375,fail,4
4815,p80,2.0,BigCodeBench/566,False,False,True,512,512,1.1787109375,fail,5
4815,p80,2.0,BigCodeBench/504,False,False,False,512,512,1.1787109375,fail,4
4815,p80,2.0,BigCodeBench/288,False,False,True,512,512,1.1787109375,fail,5
4815,p80,4.0,BigCodeBench/258,False,False,False,25,25,2.357421875,fail,5
4815,p80,4.0,BigCodeBench/465,False,False,False,512,512,2.357421875,fail,4
4815,p80,4.0,BigCodeBench/566,False,False,True,512,512,2.357421875,fail,5
4815,p80,4.0,BigCodeBench/504,False,False,True,512,512,2.357421875,fail,4
4815,p80,4.0,BigCodeBench/288,False,False,True,512,512,2.357421875,fail,5
4815,p80,-2.0,BigCodeBench/258,False,False,False,25,25,1.1787109375,fail,5
4815,p80,-2.0,BigCodeBench/465,False,False,False,512,512,1.1787109375,fail,4
4815,p80,-2.0,BigCodeBench/566,False,False,False,512,512,1.1787109375,fail,5
4815,p80,-2.0,BigCodeBench/504,False,False,False,512,512,1.1787109375,fail,4
4815,p80,-2.0,BigCodeBench/288,False,False,False,512,512,1.1787109375,fail,5
