feature_id,task_id,group,alpha,change_type,correct
8994,BigCodeBench/1000,preserved_success,1.5,executable_ast,True
8994,BigCodeBench/1083,regression,1.5,identical,False
8994,BigCodeBench/1109,preserved_success,1.5,identical,True
8994,BigCodeBench/1133,preserved_success,1.5,identical,True
8994,BigCodeBench/272,preserved_success,1.5,non_executable,True
8994,BigCodeBench/415,regression,1.5,identical,False
8994,BigCodeBench/536,regression,1.5,identical,False
8994,BigCodeBench/756,regression,1.5,identical,False
8994,BigCodeBench/861,preserved_success,1.5,executable_ast,False
8994,BigCodeBench/974,regression,1.5,identical,False
8994,BigCodeBench/1000,preserved_success,2,executable_ast,True
8994,BigCodeBench/1083,regression,2,identical,False
8994,BigCodeBench/1109,preserved_success,2,non_executable,True
8994,BigCodeBench/1133,preserved_success,2,identical,True
8994,BigCodeBench/272,preserved_success,2,non_executable,True
8994,BigCodeBench/415,regression,2,identical,False
8994,BigCodeBench/536,regression,2,identical,False
8994,BigCodeBench/756,regression,2,identical,False
8994,BigCodeBench/861,preserved_success,2,executable_ast,True
8994,BigCodeBench/974,regression,2,identical,False
8994,BigCodeBench/1000,preserved_success,3,executable_ast,True
8994,BigCodeBench/1083,regression,3,identical,False
8994,BigCodeBench/1109,preserved_success,3,non_executable,True
8994,BigCodeBench/1133,preserved_success,3,identical,True
8994,BigCodeBench/272,preserved_success,3,non_executable,True
8994,BigCodeBench/415,regression,3,identical,False
8994,BigCodeBench/536,regression,3,non_executable,False
8994,BigCodeBench/756,regression,3,executable_ast,False
8994,BigCodeBench/861,preserved_success,3,executable_ast,False
8994,BigCodeBench/974,regression,3,identical,False
8994,BigCodeBench/1000,preserved_success,4,executable_ast,True
8994,BigCodeBench/1083,regression,4,identical,False
8994,BigCodeBench/1109,preserved_success,4,non_executable,True
8994,BigCodeBench/1133,preserved_success,4,identical,True
8994,BigCodeBench/272,preserved_success,4,non_executable,True
8994,BigCodeBench/415,regression,4,identical,False
8994,BigCodeBench/536,regression,4,non_executable,False
8994,BigCodeBench/756,regression,4,executable_ast,False
8994,BigCodeBench/861,preserved_success,4,executable_ast,False
8994,BigCodeBench/974,regression,4,identical,False
11586,BigCodeBench/1109,preserved_success,1.5,non_executable,True
11586,BigCodeBench/135,regression,1.5,identical,False
11586,BigCodeBench/272,preserved_success,1.5,identical,True
11586,BigCodeBench/455,preserved_success,1.5,executable_ast,True
11586,BigCodeBench/504,regression,1.5,identical,False
11586,BigCodeBench/536,regression,1.5,identical,False
11586,BigCodeBench/827,preserved_success,1.5,identical,True
11586,BigCodeBench/841,regression,1.5,identical,False
11586,BigCodeBench/861,preserved_success,1.5,executable_ast,False
11586,BigCodeBench/983,regression,1.5,identical,False
11586,BigCodeBench/1109,preserved_success,2,identical,True
11586,BigCodeBench/135,regression,2,identical,False
11586,BigCodeBench/272,preserved_success,2,identical,True
11586,BigCodeBench/455,preserved_success,2,executable_ast,True
11586,BigCodeBench/504,regression,2,identical,False
11586,BigCodeBench/536,regression,2,identical,False
11586,BigCodeBench/827,preserved_success,2,identical,True
11586,BigCodeBench/841,regression,2,identical,False
11586,BigCodeBench/861,preserved_success,2,executable_ast,False
11586,BigCodeBench/983,regression,2,identical,False
11586,BigCodeBench/1109,preserved_success,3,identical,True
11586,BigCodeBench/135,regression,3,identical,False
11586,BigCodeBench/272,preserved_success,3,non_executable,True
11586,BigCodeBench/455,preserved_success,3,executable_ast,True
11586,BigCodeBench/504,regression,3,identical,False
11586,BigCodeBench/536,regression,3,executable_ast,False
11586,BigCodeBench/827,preserved_success,3,identical,True
11586,BigCodeBench/841,regression,3,identical,False
11586,BigCodeBench/861,preserved_success,3,executable_ast,False
11586,BigCodeBench/983,regression,3,identical,False
11586,BigCodeBench/1109,preserved_success,4,executable_ast,True
11586,BigCodeBench/135,regression,4,identical,False
11586,BigCodeBench/272,preserved_success,4,non_executable,True
11586,BigCodeBench/455,preserved_success,4,executable_ast,True
11586,BigCodeBench/504,regression,4,identical,False
11586,BigCodeBench/536,regression,4,executable_ast,False
11586,BigCodeBench/827,preserved_success,4,identical,True
11586,BigCodeBench/841,regression,4,identical,False
11586,BigCodeBench/861,preserved_success,4,executable_ast,False
11586,BigCodeBench/983,regression,4,identical,False
2562,BigCodeBench/1010,regression,-1.5,identical,False
2562,BigCodeBench/106,preserved_success,-1.5,identical,True
2562,BigCodeBench/133,regression,-1.5,non_executable,False
2562,BigCodeBench/134,regression,-1.5,identical,False
2562,BigCodeBench/238,regression,-1.5,non_executable,False
2562,BigCodeBench/362,preserved_success,-1.5,non_executable,True
2562,BigCodeBench/454,preserved_success,-1.5,non_executable,True
2562,BigCodeBench/623,regression,-1.5,identical,False
2562,BigCodeBench/877,preserved_success,-1.5,identical,True
2562,BigCodeBench/923,preserved_success,-1.5,non_executable,True
2562,BigCodeBench/1010,regression,-2,identical,False
2562,BigCodeBench/106,preserved_success,-2,identical,True
2562,BigCodeBench/133,regression,-2,non_executable,False
2562,BigCodeBench/134,regression,-2,executable_ast,False
2562,BigCodeBench/238,regression,-2,non_executable,False
2562,BigCodeBench/362,preserved_success,-2,non_executable,True
2562,BigCodeBench/454,preserved_success,-2,non_executable,True
2562,BigCodeBench/623,regression,-2,identical,False
2562,BigCodeBench/877,preserved_success,-2,identical,True
2562,BigCodeBench/923,preserved_success,-2,non_executable,True
2562,BigCodeBench/1010,regression,-3,identical,False
2562,BigCodeBench/106,preserved_success,-3,executable_ast,True
2562,BigCodeBench/133,regression,-3,non_executable,False
2562,BigCodeBench/134,regression,-3,executable_ast,False
2562,BigCodeBench/238,regression,-3,non_executable,False
2562,BigCodeBench/362,preserved_success,-3,non_executable,True
2562,BigCodeBench/454,preserved_success,-3,identical,True
2562,BigCodeBench/623,regression,-3,identical,False
2562,BigCodeBench/877,preserved_success,-3,identical,True
2562,BigCodeBench/923,preserved_success,-3,identical,True
2562,BigCodeBench/1010,regression,-4,identical,False
2562,BigCodeBench/106,preserved_success,-4,executable_ast,True
2562,BigCodeBench/133,regression,-4,non_executable,False
2562,BigCodeBench/134,regression,-4,identical,False
2562,BigCodeBench/238,regression,-4,non_executable,False
2562,BigCodeBench/362,preserved_success,-4,non_executable,True
2562,BigCodeBench/454,preserved_success,-4,non_executable,True
